annee	valeur	age	indicateur	genre	pays
2009 	0.0008	Y01	DEATHRATE	F	AM
2008 	0.00067	Y01	DEATHRATE	F	AM
2007 	0.00052	Y01	DEATHRATE	F	AM
2006 	0.00123	Y01	DEATHRATE	F	AM
2012 	0.00018	Y01	DEATHRATE	F	AT
2011 	0.00018	Y01	DEATHRATE	F	AT
2010 	0.00034	Y01	DEATHRATE	F	AT
2009 	0.00042	Y01	DEATHRATE	F	AT
2008 	0.00039	Y01	DEATHRATE	F	AT
2007 	0.00036	Y01	DEATHRATE	F	AT
2006 	0.00036	Y01	DEATHRATE	F	AT
2005 	0.00039	Y01	DEATHRATE	F	AT
2004 	0.00023	Y01	DEATHRATE	F	AT
2003 	0.00039	Y01	DEATHRATE	F	AT
2002 	0.00037	Y01	DEATHRATE	F	AT
2001 	0.00036	Y01	DEATHRATE	F	AT
2000 	0.00043	Y01	DEATHRATE	F	AT
1999 	0.00034	Y01	DEATHRATE	F	AT
1998 	0.00038	Y01	DEATHRATE	F	AT
1997 	0.00039	Y01	DEATHRATE	F	AT
1996 	0.00034	Y01	DEATHRATE	F	AT
1995 	0.00035	Y01	DEATHRATE	F	AT
1994 	0.0005	Y01	DEATHRATE	F	AT
1993 	0.00065	Y01	DEATHRATE	F	AT
1992 	0.00057	Y01	DEATHRATE	F	AT
1991 	0.00052	Y01	DEATHRATE	F	AT
1990 	0.00067	Y01	DEATHRATE	F	AT
1989 	0.00052	Y01	DEATHRATE	F	AT
1988 	0.00042	Y01	DEATHRATE	F	AT
1987 	0.00066	Y01	DEATHRATE	F	AT
1986 	0.0007	Y01	DEATHRATE	F	AT
1985 	0.00057	Y01	DEATHRATE	F	AT
1984 	0.00069	Y01	DEATHRATE	F	AT
1983 	0.00065	Y01	DEATHRATE	F	AT
1982 	0.00071	Y01	DEATHRATE	F	AT
1981 	0.00086	Y01	DEATHRATE	F	AT
1980 	0.00095	Y01	DEATHRATE	F	AT
1979 	0.00098	Y01	DEATHRATE	F	AT
1978 	0.00099	Y01	DEATHRATE	F	AT
1977 	0.00102	Y01	DEATHRATE	F	AT
