Date	Sessions
28/10/2010	7
29/10/2010	6
30/10/2010	4
31/10/2010	6
01/11/2010	2
02/11/2010	7
03/11/2010	4
04/11/2010	6
05/11/2010	6
06/11/2010	10
07/11/2010	5
08/11/2010	10
09/11/2010	8
10/11/2010	91
11/11/2010	9
12/11/2010	6
13/11/2010	6
14/11/2010	5
15/11/2010	8
16/11/2010	12
17/11/2010	97
18/11/2010	10
19/11/2010	6
20/11/2010	6
21/11/2010	8
22/11/2010	7
23/11/2010	17
24/11/2010	99
25/11/2010	14
26/11/2010	4
27/11/2010	7
28/11/2010	6
29/11/2010	11
30/11/2010	8
01/12/2010	88
02/12/2010	9
03/12/2010	4
04/12/2010	26
05/12/2010	37
06/12/2010	36
07/12/2010	61
08/12/2010	207
09/12/2010	16
10/12/2010	15
11/12/2010	20
12/12/2010	10
13/12/2010	11
14/12/2010	10
15/12/2010	87
16/12/2010	9
17/12/2010	4
18/12/2010	4
19/12/2010	5
20/12/2010	20
21/12/2010	10
22/12/2010	9
23/12/2010	13
24/12/2010	3
25/12/2010	4
26/12/2010	6
27/12/2010	15
28/12/2010	5
29/12/2010	4
30/12/2010	3
31/12/2010	1
01/01/2011	5
02/01/2011	10
03/01/2011	4
04/01/2011	6
05/01/2011	18
06/01/2011	17
07/01/2011	4
08/01/2011	6
09/01/2011	2
10/01/2011	6
11/01/2011	9
12/01/2011	6
13/01/2011	4
14/01/2011	5
15/01/2011	2
16/01/2011	3
17/01/2011	5
18/01/2011	7
19/01/2011	3
20/01/2011	3
21/01/2011	8
22/01/2011	6
23/01/2011	1
24/01/2011	7
25/01/2011	6
26/01/2011	4
27/01/2011	2
28/01/2011	3
29/01/2011	7
30/01/2011	8
31/01/2011	2
01/02/2011	6
02/02/2011	8
03/02/2011	6
04/02/2011	3
05/02/2011	6
06/02/2011	5
07/02/2011	8
08/02/2011	5
09/02/2011	11
10/02/2011	8
11/02/2011	7
12/02/2011	4
13/02/2011	2
14/02/2011	3
15/02/2011	4
16/02/2011	1
17/02/2011	1
18/02/2011	5
19/02/2011	3
20/02/2011	4
21/02/2011	12
22/02/2011	4
23/02/2011	6
24/02/2011	5
25/02/2011	8
26/02/2011	3
27/02/2011	7
28/02/2011	7
01/03/2011	9
02/03/2011	39
03/03/2011	14
04/03/2011	7
05/03/2011	3
06/03/2011	5
07/03/2011	2
08/03/2011	2
09/03/2011	6
10/03/2011	8
11/03/2011	5
12/03/2011	1
13/03/2011	4
14/03/2011	3
15/03/2011	6
16/03/2011	6
17/03/2011	8
18/03/2011	9
19/03/2011	6
20/03/2011	1
21/03/2011	7
22/03/2011	3
23/03/2011	5
24/03/2011	4
25/03/2011	6
26/03/2011	8
27/03/2011	5
28/03/2011	16
29/03/2011	17
30/03/2011	8
31/03/2011	4
01/04/2011	3
02/04/2011	6
03/04/2011	3
04/04/2011	13
05/04/2011	8
06/04/2011	6
07/04/2011	10
08/04/2011	5
09/04/2011	5
10/04/2011	4
11/04/2011	9
12/04/2011	11
13/04/2011	9
14/04/2011	6
15/04/2011	18
16/04/2011	7
17/04/2011	6
18/04/2011	10
19/04/2011	2
20/04/2011	7
21/04/2011	10
22/04/2011	8
23/04/2011	5
24/04/2011	15
25/04/2011	5
26/04/2011	10
27/04/2011	9
28/04/2011	9
29/04/2011	6
30/04/2011	6
01/05/2011	5
02/05/2011	6
03/05/2011	7
04/05/2011	15
05/05/2011	2
06/05/2011	2
07/05/2011	6
08/05/2011	6
09/05/2011	4
10/05/2011	6
11/05/2011	11
12/05/2011	11
13/05/2011	7
14/05/2011	23
15/05/2011	10
16/05/2011	8
17/05/2011	10
18/05/2011	10
19/05/2011	10
20/05/2011	8
21/05/2011	1
22/05/2011	6
23/05/2011	6
24/05/2011	11
25/05/2011	2
26/05/2011	1
27/05/2011	6
28/05/2011	6
29/05/2011	4
30/05/2011	7
31/05/2011	5
01/06/2011	3
02/06/2011	3
03/06/2011	2
04/06/2011	6
05/06/2011	1
06/06/2011	2
07/06/2011	10
08/06/2011	7
09/06/2011	6
10/06/2011	5
11/06/2011	5
12/06/2011	2
13/06/2011	3
14/06/2011	9
15/06/2011	3
16/06/2011	8
17/06/2011	4
18/06/2011	6
19/06/2011	2
20/06/2011	10
21/06/2011	5
22/06/2011	4
23/06/2011	4
24/06/2011	7
25/06/2011	2
26/06/2011	1
27/06/2011	5
28/06/2011	4
29/06/2011	5
30/06/2011	6
01/07/2011	10
02/07/2011	2
03/07/2011	3
04/07/2011	9
05/07/2011	6
06/07/2011	8
07/07/2011	3
08/07/2011	6
09/07/2011	1
10/07/2011	1
11/07/2011	4
12/07/2011	5
13/07/2011	2
14/07/2011	1
15/07/2011	1
16/07/2011	3
17/07/2011	2
18/07/2011	4
19/07/2011	4
20/07/2011	8
21/07/2011	4
22/07/2011	4
23/07/2011	0
24/07/2011	1
25/07/2011	3
26/07/2011	2
27/07/2011	2
28/07/2011	4
29/07/2011	2
30/07/2011	2
31/07/2011	4
01/08/2011	4
02/08/2011	4
03/08/2011	5
04/08/2011	3
05/08/2011	7
06/08/2011	1
07/08/2011	6
08/08/2011	6
09/08/2011	3
10/08/2011	5
11/08/2011	5
12/08/2011	5
13/08/2011	0
14/08/2011	1
15/08/2011	7
16/08/2011	4
17/08/2011	2
18/08/2011	4
19/08/2011	6
20/08/2011	5
21/08/2011	5
22/08/2011	5
23/08/2011	2
24/08/2011	2
25/08/2011	4
26/08/2011	4
27/08/2011	4
28/08/2011	3
29/08/2011	7
30/08/2011	4
31/08/2011	9
01/09/2011	4
02/09/2011	5
03/09/2011	1
04/09/2011	1
05/09/2011	5
06/09/2011	5
07/09/2011	6
08/09/2011	10
09/09/2011	4
10/09/2011	3
11/09/2011	4
12/09/2011	12
13/09/2011	109
14/09/2011	8
15/09/2011	5
16/09/2011	5
17/09/2011	7
18/09/2011	6
19/09/2011	8
20/09/2011	95
21/09/2011	8
22/09/2011	1
23/09/2011	9
24/09/2011	4
25/09/2011	6
26/09/2011	6
27/09/2011	73
28/09/2011	4
29/09/2011	2
30/09/2011	4
01/10/2011	5
02/10/2011	8
03/10/2011	11
04/10/2011	75
05/10/2011	11
06/10/2011	10
07/10/2011	3
08/10/2011	5
09/10/2011	12
10/10/2011	26
11/10/2011	78
12/10/2011	10
13/10/2011	3
14/10/2011	9
15/10/2011	4
16/10/2011	13
17/10/2011	11
18/10/2011	83
19/10/2011	13
20/10/2011	6
21/10/2011	3
22/10/2011	3
23/10/2011	6
24/10/2011	6
25/10/2011	75
26/10/2011	8
27/10/2011	7
28/10/2011	9
29/10/2011	7
30/10/2011	5
31/10/2011	7
01/11/2011	9
02/11/2011	2
03/11/2011	2
04/11/2011	9
05/11/2011	6
06/11/2011	9
07/11/2011	8
08/11/2011	72
09/11/2011	18
10/11/2011	3
11/11/2011	6
12/11/2011	8
13/11/2011	8
14/11/2011	10
15/11/2011	87
16/11/2011	14
17/11/2011	9
18/11/2011	8
19/11/2011	10
20/11/2011	7
21/11/2011	5
22/11/2011	84
23/11/2011	18
24/11/2011	28
25/11/2011	15
26/11/2011	13
27/11/2011	20
28/11/2011	132
29/11/2011	89
30/11/2011	58
01/12/2011	53
02/12/2011	15
03/12/2011	21
04/12/2011	13
05/12/2011	41
06/12/2011	133
07/12/2011	25
08/12/2011	19
09/12/2011	18
10/12/2011	14
11/12/2011	20
12/12/2011	51
13/12/2011	120
14/12/2011	5
15/12/2011	8
16/12/2011	4
17/12/2011	6
18/12/2011	7
19/12/2011	4
20/12/2011	6
21/12/2011	2
22/12/2011	6
23/12/2011	5
24/12/2011	6
25/12/2011	7
26/12/2011	7
27/12/2011	7
28/12/2011	6
29/12/2011	5
30/12/2011	4
31/12/2011	3
01/01/2012	5
02/01/2012	8
03/01/2012	2
04/01/2012	5
05/01/2012	9
06/01/2012	9
07/01/2012	3
08/01/2012	6
09/01/2012	8
10/01/2012	8
11/01/2012	3
12/01/2012	9
13/01/2012	7
14/01/2012	8
15/01/2012	6
16/01/2012	3
17/01/2012	9
18/01/2012	11
19/01/2012	9
20/01/2012	5
21/01/2012	7
22/01/2012	5
23/01/2012	11
