Project,Version,num_downloads,month
pymmails,10.12.5,1,201706
skl2onnx,18.0.2,1,201902
csharpy,9,7,201810
pyquickhelper,16.04,12,201705
pyquickhelper,,13948,201610
pyenbc,10.14.2,1,201903
onnxruntime,6.9,1,201903
jyquickhelper,16.04,2,201806
jyquickhelper,0.4,1,201611
pyensae,15.5,1,201804
mlstatpy,12.04,28,201704
pymmails,7,1,201811
tkinterquickhelper,7,2,201810
tkinterquickhelper,,238,201802
pyquickhelper,7,35,201710
tkinterquickhelper,10.14.3,2,201905
pyensae,10.7.5,1,201602
pyquickhelper,,2896,201612
pyensae,rodete,1,201809
pyenbc,9,1,201903
jyquickhelper,10.12.1,1,201610
pymmails,10.10.5,1,201710
mlstatpy,9,1,201904
tkinterquickhelper,17.10,1,201808
pymyinstall,wheezy/sid,166,201608
pymmails,,4563,201609
jyquickhelper,10.8.5,1,201711
tkinterquickhelper,10.14.3,4,201904
mlprodict,,117,201802
pyquickhelper,10.12.5,10,201706
pyquickhelper,8,27,201803
pyrsslocal,jessie/sid,2,201601
pymyinstall,18,1,201902
jyquickhelper,10.11.1,2,201701
pyquickhelper,17.04,6,201705
pymyinstall,2.3,1,201702
jyquickhelper,16.10,1,201609
pyquickhelper,stretch/sid,1,201701
pyensae,10.10.5,5,201608
jupytalk,9,1,201802
pyquickhelper,testing,1,201612
pyensae,16.04,4,201703
pymmails,,175,201811
mlstatpy,18.04,5,201906
pyensae,64--2018-04-09,1,201808
skl2onnx,10.14.3,42,201903
pyensae,wheezy/sid,38,201602
jyquickhelper,,632,201904
cpyquickhelper,10.13.6,6,201905
jyquickhelper,10.11.3,2,201705
onnxruntime,10.14.1,1,201906
pymyinstall,10.13.3,2,201809
onnxruntime,testing,1,201905
onnxruntime,10.14.5,31,201905
jyquickhelper,10.13.5,2,201901
pymyinstall,42.3,1,201810
tkinterquickhelper,18.08.31.1,1,201906
pymyinstall,10.13.6,1,201904
pyquickhelper,16.04,231,201904
jyquickhelper,2018.03,1,201904
tkinterquickhelper,17.10,1,201711
lightmlrestapi,18.04,1,201906
pymmails,wheezy/sid,7,201611
pyquickhelper,,7064,201706
mlstatpy,9,20,201811
jyquickhelper,,2081,201610
pymyinstall,10.11.4,1,201610
mlstatpy,10.10.5,3,201609
pymmails,,92,201906
pyensae,wheezy/sid,15,201605
pymmails,6.2,2,201608
onnxruntime,19.04,4,201905
onnxruntime,8,1,201812
pyrsslocal,17.04,1,201707
jyquickhelper,10.13.3,2,201902
pyensae,12.04,86,201611
jyquickhelper,18.08,3,201902
jyquickhelper,,843,201707
pyenbc,6.9,1,201802
pyrsslocal,10.12,1,201611
skl2onnx,10.14.3,44,201904
pyensae,10.11.3,6,201602
tkinterquickhelper,10.12,1,201709
jyquickhelper,6,2,201808
pyensae,10.12.3,1,201705
onnxruntime,9,9,201810
lightmlrestapi,,76,201906
jyquickhelper,16.04,663,201901
pyrsslocal,12.04,62,201611
jyquickhelper,18.10,1,201905
cpyquickhelper,,207,201904
pymyinstall,8,3,201709
pyquickhelper,5.0,1,201905
pymyinstall,12.04,78,201701
onnxruntime,9,993,201906
jyquickhelper,23,1,201701
pyquickhelper,10.13.2,4,201801
jyquickhelper,15.8,1,201811
pyensae,16.04,55,201807
cpyquickhelper,16.04,1,201710
tkinterquickhelper,2018.4,1,201811
jyquickhelper,,1001,201709
nimbusml,10.14,1,201904
pyensae,7.4,1,201902
jyquickhelper,19.1,2,201904
teachpyx,2.0,1,201707
