annee	mois	jour	charleville_max	cannes_max
2010	1	1	-0,5	13,1
2010	1	2	0,3	11,2
2010	1	3	0,4	10,2
2010	1	4	-1,9	7,8
2010	1	5	-1,4	7,8
2010	1	6	-3,9	9,3
2010	1	7	-4,6	10,1
2010	1	8	-1,7	10,2
2010	1	9	-1,1	7,6
2010	1	10	-0,3	2,4
2010	1	11	0	10,3
2010	1	12	-0,3	10,5
2010	1	13	2,4	11,2
2010	1	14	4,6	8,9
2010	1	15	2,3	14,5
2010	1	16	7,5	11,7
2010	1	17	8,2	10,7
2010	1	18	2,7	12,7
2010	1	19	3	13,8
2010	1	20	2,2	11,1
2010	1	21	2,6	13,3
2010	1	22	-1	13,1
2010	1	23	2	11,5
2010	1	24	2,6	11,1
2010	1	25	5,6	9,9
2010	1	26	-0,3	9,1
2010	1	27	1,6	13,7
2010	1	28	4,2	11,7
2010	1	29	2	12,2
2010	1	30	1,3	11,9
2010	1	31	3,1	9,1
2010	2	1	3,3	11,2
2010	2	2	5,5	11,3
2010	2	3	6,3	14,4
2010	2	4	8,2	14
2010	2	5	8,5	12,4
2010	2	6	6	16,9
2010	2	7	3,6	14,6
2010	2	8	3,7	11,9
2010	2	9	-1,3	10,9
2010	2	10	-1,9	11,5
2010	2	11	-1,4	2,3
2010	2	12	-1,5	10,3
2010	2	13	-1,7	6,2
2010	2	14	1,4	10,9
2010	2	15	0,5	10,8
2010	2	16	1,9	11,8
2010	2	17	2,7	8,9
2010	2	18	7,2	14,2
2010	2	19	5	14,8
2010	2	20	4,1	14,5
2010	2	21	6,4	13,7
2010	2	22	13,5	11,1
2010	2	23	10,4	12,8
2010	2	24	11,4	14,6
2010	2	25	10,4	15,1
2010	2	26	8	18,4
2010	2	27	13,2	16,1
2010	2	28	12,1	16,9
2010	3	1	8,6	18,1
2010	3	2	10,1	16,5
2010	3	3	9,6	12
2010	3	4	6,4	14,6
2010	3	5	5,6	13,5
2010	3	6	4	14,6
2010	3	7	3,8	8,1
2010	3	8	5,9	10,2
2010	3	9	4,5	9,1
2010	3	10	8,8	8,3
2010	3	11	4,9	13
2010	3	12	5,9	9,8
2010	3	13	6,5	13,5
2010	3	14	7,9	15,5
2010	3	15	12,2	15,3
2010	3	16	12,1	15,8
2010	3	17	14,1	16,8
2010	3	18	18,3	15,2
2010	3	19	18	16,9
2010	3	20	15	16,3
2010	3	21	10,4	16,4
2010	3	22	13,5	17,1
2010	3	23	16	19,2
2010	3	24	18,4	17,3
2010	3	25	18,6	18,1
2010	3	26	12,6	19,8
2010	3	27	9,2	16,3
2010	3	28	12	17,2
2010	3	29	16,3	16,1
2010	3	30	12,9	16,9
2010	3	31	11,1	18,2
2010	4	1	9,7	18,4
2010	4	2	10,3	18,3
2010	4	3	10,7	15,1
2010	4	4	9	14,9
2010	4	5	12,5	17,3
2010	4	6	17,6	16,4
2010	4	7	15,8	18,9
2010	4	8	10	17,1
2010	4	9	16,2	21,3
2010	4	10	14,2	23,5
2010	4	11	11,4	18,3
2010	4	12	12,5	15,6
2010	4	13	16,5	15,5
2010	4	14	16	17,2
2010	4	15	15,5	16,5
2010	4	16	12,9	19,9
2010	4	17	18,9	18,3
2010	4	18	21,6	17,8
2010	4	19	18,2	19,2
2010	4	20	16,6	18,7
2010	4	21	14,6	18,4
2010	4	22	15,2	19,4
2010	4	23	20,2	16,3
2010	4	24	23,5	22,2
2010	4	25	23,9	22,7
2010	4	26	17	24,5
2010	4	27	21	24,4
2010	4	28	24,1	23,7
2010	4	29	25,6	22,7
2010	4	30	17,1	24,3
2010	5	1	17,9	20,1
2010	5	2	15,8	21,5
2010	5	3	9,1	21
2010	5	4	-1000	17,9
2010	5	5	12	16
2010	5	6	12,2	15,1
2010	5	7	13,2	16,9
2010	5	8	16,3	18,2
2010	5	9	17	18,7
2010	5	10	16,4	19,8
2010	5	11	8,9	19,9
2010	5	12	8,6	19,9
2010	5	13	11,3	21,8
2010	5	14	11,6	19,4
2010	5	15	15,3	19,9
2010	5	16	18,1	22,7
2010	5	17	16,3	23,9
2010	5	18	17,2	22,3
2010	5	19	18,5	20,7
2010	5	20	20,9	22,1
2010	5	21	22,4	23,9
2010	5	22	23,5	26,3
2010	5	23	26,6	23,8
2010	5	24	27,2	22,2
2010	5	25	27,6	29,6
2010	5	26	20,7	25,8
2010	5	27	18,3	29,8
2010	5	28	19,3	21,9
2010	5	29	19,5	22,6
2010	5	30	17	24,5
2010	5	31	13,8	23,8
2010	6	1	14,2	25,8
2010	6	2	21,5	24,3
2010	6	3	24,4	24,5
2010	6	4	27,6	23,5
