Date	Open	High	Low	Close	Volume	Adj Close
04/07/2008	59.31	59.34	56.82	57.04	3964000	57.04
03/07/2008	55.40	58.67	55.25	58.67	7412000	58.67
02/07/2008	56.60	57.40	55.62	56.15	4731400	56.15
01/07/2008	57.00	57.39	55.42	55.95	6373600	55.95
30/06/2008	57.53	58.01	56.10	57.54	6142600	57.54
27/06/2008	58.90	58.98	56.60	57.91	6613500	57.91
26/06/2008	60.26	60.54	58.64	59.00	5784800	59.00
25/06/2008	60.70	61.50	60.12	61.08	4942100	61.08
24/06/2008	58.53	60.45	58.23	59.88	8382000	59.88
23/06/2008	58.75	59.94	58.50	58.74	4156700	58.74
20/06/2008	60.65	61.07	58.55	59.31	9048100	59.31
19/06/2008	61.11	61.55	60.13	60.26	6265000	60.26
18/06/2008	63.15	63.30	61.56	61.74	5743600	61.74
17/06/2008	62.46	64.10	62.27	63.60	7103000	63.60
16/06/2008	62.70	63.88	61.10	61.90	5430400	61.90
13/06/2008	61.00	62.15	60.05	61.52	4273200	61.52
12/06/2008	59.30	61.62	59.27	61.28	5761100	61.28
11/06/2008	61.98	62.92	59.05	59.65	7162400	59.65
10/06/2008	59.30	61.83	58.78	60.80	5934900	60.80
06/06/2008	63.81	63.83	60.62	60.62	6111900	60.62
05/06/2008	63.61	64.35	62.72	63.10	5106900	63.10
04/06/2008	64.00	64.36	62.63	63.87	5238700	63.87
03/06/2008	64.63	65.00	64.00	64.36	4181500	64.36
02/06/2008	66.90	66.90	64.65	65.00	3448900	65.00
30/05/2008	65.68	66.95	65.60	66.34	3740200	66.34
29/05/2008	66.08	66.29	64.87	65.32	4354600	65.32
28/05/2008	65.86	67.35	65.55	65.55	4445000	65.55
27/05/2008	66.65	67.04	65.31	65.86	3680500	65.86
26/05/2008	64.90	66.68	64.55	66.60	5307000	66.60
23/05/2008	68.65	69.07	67.79	67.97	5156300	67.97
22/05/2008	68.00	69.32	67.51	68.82	5250400	68.82
21/05/2008	69.00	69.37	67.35	68.00	5529700	68.00
20/05/2008	69.40	69.69	68.30	68.70	3587800	68.70
19/05/2008	70.50	70.60	69.32	69.97	3362000	69.97
16/05/2008	71.10	71.40	69.65	70.01	4900500	70.01
15/05/2008	70.96	70.96	69.66	70.57	4165100	70.57
14/05/2008	68.86	70.99	68.54	70.78	7936000	70.78
13/05/2008	67.75	68.18	66.47	67.50	3808000	67.50
12/05/2008	67.75	67.97	66.52	67.31	1834300	67.31
09/05/2008	68.15	68.28	66.65	67.44	4897100	67.44
08/05/2008	69.10	69.22	68.20	68.89	3406800	68.89
07/05/2008	70.78	70.89	69.70	69.76	3748200	69.76
06/05/2008	71.04	71.08	69.50	70.19	3850800	70.19
05/05/2008	71.00	71.60	70.61	71.04	2260200	71.04
02/05/2008	70.50	72.18	70.33	71.32	5936600	71.32
30/04/2008	69.20	69.41	68.31	69.25	3326900	69.25
29/04/2008	69.00	69.88	68.61	69.46	3591300	69.46
28/04/2008	69.43	70.48	69.41	69.76	2827900	69.76
25/04/2008	69.00	70.45	68.76	69.18	3765000	69.18
24/04/2008	67.20	68.54	66.54	68.41	4322700	68.41
23/04/2008	67.55	68.06	65.93	67.71	4177400	67.71
22/04/2008	67.82	68.62	67.06	67.59	3851800	67.59
21/04/2008	69.73	70.50	68.14	68.75	4343100	68.75
18/04/2008	67.98	70.53	67.85	70.03	7308700	70.03
17/04/2008	67.71	68.93	67.37	67.64	4630700	67.64
16/04/2008	66.00	67.47	65.48	67.16	4317000	67.16
15/04/2008	66.40	66.59	64.83	65.75	4217000	65.75
14/04/2008	65.50	66.75	65.40	66.01	4479200	66.01
