Date,Open,High,Low,Close,Volume,Adj Close
2008-07-07,55.67,55.75,53.36,53.73,4799500,53.73
2008-07-04,57.02,57.07,54.54,54.81,2733000,54.81
2008-07-03,52.80,56.45,52.12,56.22,7172000,56.22
2008-07-02,53.92,55.26,53.39,53.60,4589700,53.60
2008-07-01,54.43,54.66,52.30,53.64,5919700,53.64
2008-06-30,54.85,55.58,53.50,55.29,4420900,55.29
2008-06-27,54.87,56.20,53.12,55.10,4520400,55.10
2008-06-26,57.34,57.80,55.00,55.29,5542000,55.29
2008-06-25,55.95,58.28,55.94,58.10,5402600,58.10
2008-06-24,55.23,56.40,54.11,55.60,6070200,55.60
2008-06-23,56.34,57.25,55.16,55.50,3593000,55.50
2008-06-20,57.03,57.80,55.55,56.45,7343200,56.45
2008-06-19,57.46,58.08,56.32,56.58,5505300,56.58
2008-06-18,59.31,59.60,57.83,58.13,4773900,58.13
2008-06-17,58.43,61.01,58.35,60.00,6611200,60.00
2008-06-16,59.06,60.57,56.95,58.14,5155400,58.14
2008-06-13,58.56,58.56,56.88,57.90,6643000,57.90
2008-06-12,57.70,59.07,57.19,58.30,5181800,58.30
2008-06-11,60.50,61.17,57.11,57.46,5849300,57.46
2008-06-10,58.52,60.75,57.44,59.39,5010100,59.39
2008-06-06,63.04,63.45,60.45,60.50,4738000,60.50
2008-06-05,63.51,63.78,61.82,62.72,3398900,62.72
2008-06-04,64.00,64.16,61.64,63.64,7322200,63.64
2008-06-03,64.25,65.00,63.58,64.73,4544400,64.73
2008-06-02,66.95,67.15,65.12,65.89,8312500,64.99
2008-05-30,66.05,67.73,66.00,66.80,3787500,65.89
2008-05-29,67.10,67.42,65.02,65.67,3882700,64.77
2008-05-28,66.49,67.96,66.20,66.50,3298500,65.59
2008-05-27,66.92,67.25,65.63,66.45,3342500,65.54
2008-05-26,66.14,67.10,66.13,66.70,1559500,65.79
2008-05-23,67.40,68.77,66.64,66.75,3899400,65.84
2008-05-22,65.50,68.25,65.30,67.77,5531800,66.84
2008-05-21,67.87,68.20,65.89,66.26,6115000,65.35
2008-05-20,69.89,69.90,67.65,68.09,5349400,67.16
2008-05-19,72.60,72.60,69.84,70.50,4549400,69.54
2008-05-16,71.85,72.67,71.04,71.85,4178400,70.87
2008-05-15,71.15,71.43,70.32,71.02,3017400,70.05
2008-05-14,71.90,71.97,70.04,71.32,3528600,70.35
2008-05-13,71.70,72.45,69.22,70.90,7240800,69.93
2008-05-12,72.73,73.17,71.10,71.50,2558700,70.52
2008-05-09,73.00,73.20,71.02,72.60,5280500,71.61
2008-05-08,75.00,75.30,73.18,74.11,4066500,73.10
2008-05-07,76.80,77.00,75.18,76.04,3430700,75.00
2008-05-06,78.50,78.52,75.10,76.40,3761100,75.36
2008-05-05,78.00,78.99,77.40,78.45,1722500,77.38
2008-05-02,76.75,78.90,76.10,78.20,4989400,77.13
2008-04-30,75.63,75.63,74.10,75.16,2759700,74.13
2008-04-29,75.25,76.20,74.40,75.45,3168900,74.42
2008-04-28,76.19,77.04,75.22,76.48,2924200,75.44
2008-04-25,74.40,76.38,74.35,75.56,4622800,74.53
2008-04-24,72.53,73.70,71.52,73.70,3076900,72.69
2008-04-23,73.65,74.00,71.62,73.20,4217800,72.20
2008-04-22,72.55,74.00,72.25,73.62,3632000,72.61
2008-04-21,74.80,77.26,72.64,73.85,5913300,72.84
2008-04-18,71.89,75.99,70.54,75.15,11325500,74.12
2008-04-17,69.80,72.20,69.61,70.99,8034800,70.02
2008-04-16,66.89,68.56,66.58,68.06,4818900,67.13
2008-04-15,66.65,66.88,65.60,65.95,3698400,65.05
2008-04-14,67.41,67.48,65.63,66.46,3945700,65.55
2008-04-11,68.04,68.63,66.13,67.30,5030300,66.38
2008-04-10,67.51,67.89,65.34,67.29,5035900,66.37
2008-04-09,68.08,69.40,67.17,67.84,4467300,66.91
2008-04-08,68.04,68.65,66.84,68.65,4113400,67.71
2008-04-07,68.02,69.98,67.77,69.00,5007300,68.06
2008-04-04,67.70,68.32,66.15,67.30,4664100,66.38
2008-04-03,68.27,68.99,66.15,67.64,6516200,66.72
2008-04-02,67.90,69.74,67.40,69.38,6848900,68.43
2008-04-01,61.38,67.90,61.03,67.90,10183500,66.97
2008-03-31,63.80,63.95,61.57,62.02,5415100,61.17
2008-03-28,65.16,65.16,63.50,64.12,3422000,63.24
2008-03-27,63.96,65.57,63.49,64.78,4807500,63.90
2008-03-26,64.01,64.97,62.40,63.59,6704100,62.72
2008-03-25,65.18,66.00,63.95,64.31,8369300,63.43
2008-03-24,61.33,61.33,61.33,61.33,000,60.49
2008-03-21,61.33,61.33,61.33,61.33,000,60.49
2008-03-20,61.10,62.89,59.55,61.33,11601400,60.49
2008-03-19,64.05,65.50,61.67,62.44,18708800,61.59
2008-03-18,64.55,67.85,63.61,67.19,10154000,66.27
2008-03-17,65.40,65.66,61.72,62.98,16060100,62.12
2008-03-14,70.50,73.31,66.99,68.75,10887300,67.81
2008-03-13,68.65,70.61,67.10,70.00,9517000,69.04
2008-03-12,70.70,71.95,69.06,71.11,10852100,70.14
2008-03-11,64.30,68.60,64.30,66.94,8419100,66.03
2008-03-10,64.95,66.80,63.05,64.08,5034000,63.20
2008-03-07,65.56,66.88,63.83,65.00,7483000,64.11
2008-03-06,69.53,69.56,66.10,66.32,5371700,65.41
2008-03-05,68.60,70.48,67.26,69.62,4367300,68.67
2008-03-04,70.50,70.89,66.65,67.42,5116800,66.50
2008-03-03,70.80,71.43,68.00,69.59,5789500,68.64
2008-02-29,70.10,73.40,69.55,71.10,15036400,70.13
2008-02-28,68.15,72.76,67.00,70.30,21152700,69.34
2008-02-27,68.44,69.18,67.15,69.00,12271900,68.06
2008-02-26,65.65,68.33,64.71,67.85,18291000,66.92
2008-02-25,65.38,65.68,64.24,64.85,11292600,63.96
2008-02-22,64.71,65.30,62.74,64.58,15721200,63.70
2008-02-21,67.00,68.63,64.55,65.08,17093400,64.19
2008-02-20,74.19,75.12,71.15,71.15,10060500,70.18
2008-02-19,76.65,77.73,75.03,75.70,4473600,74.67
2008-02-18,76.15,77.45,74.70,76.67,3401800,75.62
2008-02-15,77.52,78.17,74.22,76.22,6154200,75.18
2008-02-14,80.79,80.88,77.13,78.00,3343800,76.93
2008-02-13,75.62,81.13,75.50,79.39,6349600,78.31
2008-02-12,75.30,78.18,72.20,77.16,7097200,76.11
2008-02-11,74.00,76.35,72.83,74.59,9238600,73.57
2008-02-08,81.73,82.49,76.60,77.72,8260600,76.66
2008-02-07,81.50,83.50,79.71,80.51,4900200,79.41
2008-02-06,78.25,85.41,78.03,81.75,9551500,80.63
2008-02-05,84.80,84.80,78.52,79.20,8722600,78.12
2008-02-04,88.35,88.40,82.18,83.61,7811000,82.47
2008-02-01,86.95,89.70,84.90,87.80,12078000,86.60
2008-01-31,80.99,84.89,79.21,83.20,12213300,82.06
2008-01-30,77.26,82.99,76.16,81.80,13664400,80.68
2008-01-29,72.80,80.26,70.52,78.45,21684000,77.38
2008-01-28,71.50,71.65,66.80,71.05,12554800,70.08
2008-01-25,78.70,79.00,73.12,73.87,15195600,72.86
2008-01-24,76.00,78.78,73.10,75.81,25037700,74.77
2008-01-23,84.90,84.90,75.14,79.08,11927300,78.00
2008-01-22,74.00,83.74,71.80,82.50,11653600,81.37
2008-01-21,83.50,83.60,77.40,78.52,11006300,77.45
2008-01-18,92.79,93.38,84.55,85.34,10838300,84.17
2008-01-17,96.68,96.75,93.00,93.00,4082900,91.73
2008-01-16,94.35,96.06,92.70,94.93,4636800,93.63
2008-01-15,97.51,99.15,95.22,95.24,5235900,93.94
2008-01-14,96.50,99.53,96.50,98.10,3043500,96.76
2008-01-11,95.73,97.88,95.00,97.11,3114100,95.78
2008-01-10,95.75,96.98,94.99,95.25,2627500,93.95
2008-01-09,94.84,96.07,93.80,94.99,3269100,93.69
2008-01-08,97.17,97.39,93.99,95.24,4954900,93.94
2008-01-07,96.20,97.50,96.15,96.87,1845000,95.55
2008-01-04,98.50,99.79,95.80,96.70,3713800,95.38
2008-01-03,97.57,98.13,95.92,97.74,2118900,96.40
2008-01-02,98.50,99.91,97.07,97.76,2591600,96.42
2008-01-01,98.93,98.93,98.93,98.93,000,97.58
2007-12-31,98.68,98.96,98.23,98.93,382500,97.58
2007-12-28,98.49,99.66,98.22,98.99,1079700,97.64
2007-12-27,98.75,99.82,98.30,98.88,1814100,97.53
2007-12-26,98.59,98.59,98.59,98.59,000,97.24
2007-12-25,98.59,98.59,98.59,98.59,000,97.24
2007-12-24,98.50,98.98,98.44,98.59,378200,97.24
2007-12-21,99.05,99.98,98.20,98.44,6073800,97.10
2007-12-20,98.42,99.40,97.35,98.19,2787200,96.85
2007-12-19,99.01,99.31,96.89,98.06,3295200,96.72
2007-12-18,99.00,100.85,98.40,99.11,3635100,97.76
2007-12-17,98.66,99.33,97.38,98.46,3707300,97.12
2007-12-14,102.87,102.91,98.79,100.67,4038500,99.29
2007-12-13,103.76,104.13,101.23,101.90,5118200,100.51
2007-12-12,104.90,107.70,103.13,105.72,5907800,104.28
2007-12-11,108.21,108.85,105.90,106.89,2926800,105.43
2007-12-10,104.64,108.72,104.64,107.76,2743100,106.29
2007-12-07,106.40,107.74,105.79,106.54,3121000,105.08
2007-12-06,103.51,107.20,103.33,105.11,4950100,103.67
2007-12-05,102.00,102.69,99.84,102.45,3367600,101.05
2007-12-04,103.01,103.46,100.00,101.05,4149100,99.67
2007-12-03,104.46,106.26,103.01,104.53,2822100,103.10
2007-11-30,102.44,106.37,101.91,105.58,4136600,104.14
2007-11-29,103.00,105.49,100.89,102.69,4497700,101.29
2007-11-28,99.10,102.00,98.60,101.02,4865300,99.64
2007-11-27,94.50,99.22,93.90,97.87,4841800,96.53
2007-11-26,98.90,99.43,95.16,95.99,3471100,94.68
2007-11-23,94.70,98.19,94.64,97.75,4901000,96.41
2007-11-22,95.50,95.92,92.55,93.90,3880600,92.62
2007-11-21,96.50,97.44,93.05,94.63,7265100,93.34
2007-11-20,100.02,101.38,96.90,100.58,4053500,99.21
2007-11-19,102.50,103.04,98.80,99.33,3827900,97.97
2007-11-16,104.20,104.59,101.65,102.27,4897600,100.87
2007-11-15,104.96,105.97,103.60,105.00,3889200,103.57
2007-11-14,107.00,107.04,104.58,105.10,4612800,103.66
2007-11-13,102.15,104.45,100.50,103.13,3188200,101.72
2007-11-12,99.20,103.30,99.12,102.29,5333500,100.89
2007-11-09,104.53,105.95,98.40,100.00,6783400,98.63
2007-11-08,101.99,106.10,101.61,103.92,5528300,102.50
2007-11-07,109.10,110.38,104.72,105.14,4977500,103.70
2007-11-06,107.51,108.28,103.88,106.40,3909600,104.95
2007-11-05,106.94,107.45,104.83,106.34,5426100,104.89
2007-11-02,111.00,111.00,106.68,108.65,7300800,107.17
2007-11-01,116.00,116.10,110.96,112.71,4393500,111.17
2007-10-31,113.22,116.78,113.22,115.86,4222800,114.28
2007-10-30,112.39,114.28,112.06,113.22,2093300,111.67
2007-10-29,113.20,113.59,111.11,112.95,2998700,111.41
2007-10-26,112.89,112.89,110.13,111.60,3942300,110.08
2007-10-25,112.98,113.61,111.00,112.40,2396900,110.86
2007-10-24,113.58,113.58,110.85,111.82,3013200,110.29
2007-10-23,113.85,114.74,112.23,113.85,3046400,112.29
2007-10-22,116.07,114.87,112.52,113.85,4606600,112.29
2007-10-19,117.61,117.61,115.85,116.68,2259500,115.09
2007-10-18,120.40,120.40,117.19,117.85,3117000,116.24
2007-10-17,118.70,120.90,117.65,119.40,2586700,117.77
