code	url	creator	created_t	created_datetime	last_modified_t	last_modified_datetime	product_name	generic_name	quantity	packaging	packaging_tags	brands	brands_tags	categories	categories_tags	categories_fr	origins	origins_tags	manufacturing_places	manufacturing_places_tags	labels	labels_tags	labels_fr	emb_codes	emb_codes_tags	first_packaging_code_geo	cities	cities_tags	purchase_places	stores	countries	countries_tags	countries_fr	ingredients_text	allergens	allergens_fr	traces	traces_tags	traces_fr	serving_size	no_nutriments	additives_n	additives	additives_tags	additives_fr	ingredients_from_palm_oil_n	ingredients_from_palm_oil	ingredients_from_palm_oil_tags	ingredients_that_may_be_from_palm_oil_n	ingredients_that_may_be_from_palm_oil	ingredients_that_may_be_from_palm_oil_tags	nutrition_grade_uk	nutrition_grade_fr	pnns_groups_1	pnns_groups_2	states	states_tags	states_fr	main_category	main_category_fr	image_url	image_small_url	energy_100g	energy-from-fat_100g	fat_100g	saturated-fat_100g	butyric-acid_100g	caproic-acid_100g	caprylic-acid_100g	capric-acid_100g	lauric-acid_100g	myristic-acid_100g	palmitic-acid_100g	stearic-acid_100g	arachidic-acid_100g	behenic-acid_100g	lignoceric-acid_100g	cerotic-acid_100g	montanic-acid_100g	melissic-acid_100g	monounsaturated-fat_100g	polyunsaturated-fat_100g	omega-3-fat_100g	alpha-linolenic-acid_100g	eicosapentaenoic-acid_100g	docosahexaenoic-acid_100g	omega-6-fat_100g	linoleic-acid_100g	arachidonic-acid_100g	gamma-linolenic-acid_100g	dihomo-gamma-linolenic-acid_100g	omega-9-fat_100g	oleic-acid_100g	elaidic-acid_100g	gondoic-acid_100g	mead-acid_100g	erucic-acid_100g	nervonic-acid_100g	trans-fat_100g	cholesterol_100g	carbohydrates_100g	sugars_100g	sucrose_100g	glucose_100g	fructose_100g	lactose_100g	maltose_100g	maltodextrins_100g	starch_100g	polyols_100g	fiber_100g	proteins_100g	casein_100g	serum-proteins_100g	nucleotides_100g	salt_100g	sodium_100g	alcohol_100g	vitamin-a_100g	beta-carotene_100g	vitamin-d_100g	vitamin-e_100g	vitamin-k_100g	vitamin-c_100g	vitamin-b1_100g	vitamin-b2_100g	vitamin-pp_100g	vitamin-b6_100g	vitamin-b9_100g	folates_100g	vitamin-b12_100g	biotin_100g	pantothenic-acid_100g	silica_100g	bicarbonate_100g	potassium_100g	chloride_100g	calcium_100g	phosphorus_100g	iron_100g	magnesium_100g	zinc_100g	copper_100g	manganese_100g	fluoride_100g	selenium_100g	chromium_100g	molybdenum_100g	iodine_100g	caffeine_100g	taurine_100g	ph_100g	fruits-vegetables-nuts_100g	fruits-vegetables-nuts-estimate_100g	collagen-meat-protein-ratio_100g	cocoa_100g	chlorophyl_100g	carbon-footprint_100g	nutrition-score-fr_100g	nutrition-score-uk_100g	glycemic-index_100g	water-hardness_100g
0000000003087	http://world-fr.openfoodfacts.org/produit/0000000003087/farine-de-ble-noir-ferme-t-y-r-nao	openfoodfacts-contributors	1474103866	2016-09-17T09:17:46Z	1474103893	2016-09-17T09:18:13Z	Farine de blé noir		1kg			Ferme t'y R'nao	ferme-t-y-r-nao																		en:FR	en:france	France																							en:to-be-completed, en:nutrition-facts-to-be-completed, en:ingredients-to-be-completed, en:expiration-date-to-be-completed, en:characteristics-to-be-completed, en:categories-to-be-completed, en:brands-completed, en:packaging-to-be-completed, en:quantity-completed, en:product-name-completed, en:photos-to-be-validated, en:photos-uploaded	en:to-be-completed,en:nutrition-facts-to-be-completed,en:ingredients-to-be-completed,en:expiration-date-to-be-completed,en:characteristics-to-be-completed,en:categories-to-be-completed,en:brands-completed,en:packaging-to-be-completed,en:quantity-completed,en:product-name-completed,en:photos-to-be-validated,en:photos-uploaded	A compléter,Informations nutritionnelles à compléter,Ingrédients à compléter,Date limite à compléter,Caractéristiques à compléter,Catégories à compléter,Marques complétées,Emballage à compléter,Quantité complétée,Nom du produit complete,Photos à valider,Photos envoyées																																																																																																								
0000000004530	http://world-fr.openfoodfacts.org/produit/0000000004530/banana-chips-sweetened-whole	usda-ndb-import	1489069957	2017-03-09T14:32:37Z	1489069957	2017-03-09T14:32:37Z	Banana Chips Sweetened (Whole)																								US	en:united-states	États-Unis	Bananas, vegetable oil (coconut oil, corn oil and/or palm oil) sugar, natural banana flavor.						28 g (1 ONZ)		0	 [ bananas -> en:bananas  ]  [ vegetable-oil -> en:vegetable-oil  ]  [ oil -> en:oil  ]  [ coconut-oil -> en:coconut-oil  ]  [ oil -> en:oil  ]  [ corn-oil-and-or-palm-oil-sugar -> en:corn-oil-and-or-palm-oil-sugar  ]  [ oil-and-or-palm-oil-sugar -> en:oil-and-or-palm-oil-sugar  ]  [ and-or-palm-oil-sugar -> en:and-or-palm-oil-sugar  ]  [ or-palm-oil-sugar -> en:or-palm-oil-sugar  ]  [ palm-oil-sugar -> en:palm-oil-sugar  ]  [ oil-sugar -> en:oil-sugar  ]  [ sugar -> en:sugar  ]  [ natural-banana-flavor -> en:natural-banana-flavor  ]  [ banana-flavor -> en:banana-flavor  ]  [ flavor -> en:flavor  ] 			0			0				d			en:to-be-completed, en:nutrition-facts-completed, en:ingredients-completed, en:expiration-date-to-be-completed, en:packaging-code-to-be-completed, en:characteristics-to-be-completed, en:categories-to-be-completed, en:brands-to-be-completed, en:packaging-to-be-completed, en:quantity-to-be-completed, en:product-name-completed, en:photos-to-be-uploaded	en:to-be-completed,en:nutrition-facts-completed,en:ingredients-completed,en:expiration-date-to-be-completed,en:packaging-code-to-be-completed,en:characteristics-to-be-completed,en:categories-to-be-completed,en:brands-to-be-completed,en:packaging-to-be-completed,en:quantity-to-be-completed,en:product-name-completed,en:photos-to-be-uploaded	A compléter,Informations nutritionnelles complétées,Ingrédients complétés,Date limite à compléter,en:Packaging-code-to-be-completed,Caractéristiques à compléter,Catégories à compléter,Marques à compléter,Emballage à compléter,Quantité à compléter,Nom du produit complete,Photos à envoyer					2243		28.57	28.57																																	0	0.018	64.29	14.29									3.6	3.57				0	0		0					0.0214														0		0.00129																			14	14		
0000000004559	http://world-fr.openfoodfacts.org/produit/0000000004559/peanuts-torn-glasser	usda-ndb-import	1489069957	2017-03-09T14:32:37Z	1489069957	2017-03-09T14:32:37Z	Peanuts					Torn & Glasser	torn-glasser																		US	en:united-states	États-Unis	Peanuts, wheat flour, sugar, rice flour, tapioca starch, salt, leavening (ammonium bicarbonate, baking soda), soy sauce (water, soybeans, wheat, salt), potato starch.						28 g (0.25 cup)		0	 [ peanuts -> en:peanuts  ]  [ wheat-flour -> en:wheat-flour  ]  [ flour -> en:flour  ]  [ sugar -> en:sugar  ]  [ rice-flour -> en:rice-flour  ]  [ flour -> en:flour  ]  [ tapioca-starch -> en:tapioca-starch  ]  [ starch -> en:starch  ]  [ salt -> en:salt  ]  [ leavening -> en:leavening  ]  [ ammonium-bicarbonate -> en:ammonium-bicarbonate  ]  [ bicarbonate -> en:bicarbonate  ]  [ baking-soda -> en:baking-soda  ]  [ soda -> en:soda  ]  [ soy-sauce -> en:soy-sauce  ]  [ sauce -> en:sauce  ]  [ water -> en:water  ]  [ soybeans -> en:soybeans  ]  [ wheat -> en:wheat  ]  [ salt -> en:salt  ]  [ potato-starch -> en:potato-starch  ]  [ starch -> en:starch  ] 			0			0				b			en:to-be-completed, en:nutrition-facts-completed, en:ingredients-completed, en:expiration-date-to-be-completed, en:packaging-code-to-be-completed, en:characteristics-to-be-completed, en:categories-to-be-completed, en:brands-completed, en:packaging-to-be-completed, en:quantity-to-be-completed, en:product-name-completed, en:photos-to-be-uploaded	en:to-be-completed,en:nutrition-facts-completed,en:ingredients-completed,en:expiration-date-to-be-completed,en:packaging-code-to-be-completed,en:characteristics-to-be-completed,en:categories-to-be-completed,en:brands-completed,en:packaging-to-be-completed,en:quantity-to-be-completed,en:product-name-completed,en:photos-to-be-uploaded	A compléter,Informations nutritionnelles complétées,Ingrédients complétés,Date limite à compléter,en:Packaging-code-to-be-completed,Caractéristiques à compléter,Catégories à compléter,Marques complétées,Emballage à compléter,Quantité à compléter,Nom du produit complete,Photos à envoyer					1941		17.86	0																																	0	0	60.71	17.86									7.1	17.86				0.635	0.25		0					0														0.071		0.00129																			0	0		
0000000016087	http://world-fr.openfoodfacts.org/produit/0000000016087/organic-salted-nut-mix-grizzlies	usda-ndb-import	1489055731	2017-03-09T10:35:31Z	1489055731	2017-03-09T10:35:31Z	Organic Salted Nut Mix					Grizzlies	grizzlies																		US	en:united-states	États-Unis	Organic hazelnuts, organic cashews, organic walnuts almonds, organic sunflower oil, sea salt.						28 g (0.25 cup)		0	 [ organic-hazelnuts -> en:organic-hazelnuts  ]  [ hazelnuts -> en:hazelnuts  ]  [ organic-cashews -> en:organic-cashews  ]  [ cashews -> en:cashews  ]  [ organic-walnuts-almonds -> en:organic-walnuts-almonds  ]  [ walnuts-almonds -> en:walnuts-almonds  ]  [ almonds -> en:almonds  ]  [ organic-sunflower-oil -> en:organic-sunflower-oil  ]  [ sunflower-oil -> en:sunflower-oil  ]  [ oil -> en:oil  ]  [ sea-salt -> en:sea-salt  ]  [ salt -> en:salt  ] 			0			0				d			en:to-be-completed, en:nutrition-facts-completed, en:ingredients-completed, en:expiration-date-to-be-completed, en:packaging-code-to-be-completed, en:characteristics-to-be-completed, en:categories-to-be-completed, en:brands-completed, en:packaging-to-be-completed, en:quantity-to-be-completed, en:product-name-completed, en:photos-to-be-uploaded	en:to-be-completed,en:nutrition-facts-completed,en:ingredients-completed,en:expiration-date-to-be-completed,en:packaging-code-to-be-completed,en:characteristics-to-be-completed,en:categories-to-be-completed,en:brands-completed,en:packaging-to-be-completed,en:quantity-to-be-completed,en:product-name-completed,en:photos-to-be-uploaded	A compléter,Informations nutritionnelles complétées,Ingrédients complétés,Date limite à compléter,en:Packaging-code-to-be-completed,Caractéristiques à compléter,Catégories à compléter,Marques complétées,Emballage à compléter,Quantité à compléter,Nom du produit complete,Photos à envoyer					2540		57.14	5.36																																			17.86	3.57									7.1	17.86				1.22428	0.482																					0.143		0.00514																			12	12		
0000000016094	http://world-fr.openfoodfacts.org/produit/0000000016094/organic-polenta-bob-s-red-mill	usda-ndb-import	1489055653	2017-03-09T10:34:13Z	1489055653	2017-03-09T10:34:13Z	Organic Polenta					Bob's Red Mill	bob-s-red-mill																		US	en:united-states	États-Unis	Organic polenta						35 g (0.25 cup)		0	 [ organic-polenta -> en:organic-polenta  ]  [ polenta -> en:polenta  ] 			0			0							en:to-be-completed, en:nutrition-facts-completed, en:ingredients-completed, en:expiration-date-to-be-completed, en:packaging-code-to-be-completed, en:characteristics-to-be-completed, en:categories-to-be-completed, en:brands-completed, en:packaging-to-be-completed, en:quantity-to-be-completed, en:product-name-completed, en:photos-to-be-uploaded	en:to-be-completed,en:nutrition-facts-completed,en:ingredients-completed,en:expiration-date-to-be-completed,en:packaging-code-to-be-completed,en:characteristics-to-be-completed,en:categories-to-be-completed,en:brands-completed,en:packaging-to-be-completed,en:quantity-to-be-completed,en:product-name-completed,en:photos-to-be-uploaded	A compléter,Informations nutritionnelles complétées,Ingrédients complétés,Date limite à compléter,en:Packaging-code-to-be-completed,Caractéristiques à compléter,Catégories à compléter,Marques complétées,Emballage à compléter,Quantité à compléter,Nom du produit complete,Photos à envoyer					1552		1.43																																				77.14										5.7	8.57																																																		
0000000016100	http://world-fr.openfoodfacts.org/produit/0000000016100/breadshop-honey-gone-nuts-granola-unfi	usda-ndb-import	1489055651	2017-03-09T10:34:11Z	1489055651	2017-03-09T10:34:11Z	Breadshop Honey Gone Nuts Granola					Unfi	unfi																		US	en:united-states	États-Unis	Rolled oats, grape concentrate, expeller pressed canola oil, sunflower seeds, almonds, walnuts oat bran, sesame seeds, cashews, natural vitamin e.						52 g (0.5 cup)		0	 [ rolled-oats -> en:rolled-oats  ]  [ oats -> en:oats  ]  [ grape-concentrate -> en:grape-concentrate  ]  [ concentrate -> en:concentrate  ]  [ expeller-pressed-canola-oil -> en:expeller-pressed-canola-oil  ]  [ pressed-canola-oil -> en:pressed-canola-oil  ]  [ canola-oil -> en:canola-oil  ]  [ oil -> en:oil  ]  [ sunflower-seeds -> en:sunflower-seeds  ]  [ seeds -> en:seeds  ]  [ almonds -> en:almonds  ]  [ walnuts-oat-bran -> en:walnuts-oat-bran  ]  [ oat-bran -> en:oat-bran  ]  [ bran -> en:bran  ]  [ sesame-seeds -> en:sesame-seeds  ]  [ seeds -> en:seeds  ]  [ cashews -> en:cashews  ]  [ natural-vitamin-e -> en:natural-vitamin-e  ]  [ vitamin-e -> en:vitamin-e  ]  [ e -> en:e  ] 			0			0							en:to-be-completed, en:nutrition-facts-completed, en:ingredients-completed, en:expiration-date-to-be-completed, en:packaging-code-to-be-completed, en:characteristics-to-be-completed, en:categories-to-be-completed, en:brands-completed, en:packaging-to-be-completed, en:quantity-to-be-completed, en:product-name-completed, en:photos-to-be-uploaded	en:to-be-completed,en:nutrition-facts-completed,en:ingredients-completed,en:expiration-date-to-be-completed,en:packaging-code-to-be-completed,en:characteristics-to-be-completed,en:categories-to-be-completed,en:brands-completed,en:packaging-to-be-completed,en:quantity-to-be-completed,en:product-name-completed,en:photos-to-be-uploaded	A compléter,Informations nutritionnelles complétées,Ingrédients complétés,Date limite à compléter,en:Packaging-code-to-be-completed,Caractéristiques à compléter,Catégories à compléter,Marques complétées,Emballage à compléter,Quantité à compléter,Nom du produit complete,Photos à envoyer					1933		18.27	1.92																																			63.46	11.54									7.7	13.46																										0.038		0.00346																						
0000000016117	http://world-fr.openfoodfacts.org/produit/0000000016117/organic-long-grain-white-rice-lundberg	usda-ndb-import	1489055730	2017-03-09T10:35:30Z	1489055730	2017-03-09T10:35:30Z	Organic Long Grain White Rice					Lundberg	lundberg																		US	en:united-states	États-Unis	Organic long grain white rice						45 g (0.25 cup)		0	 [ organic-long-grain-white-rice -> en:organic-long-grain-white-rice  ]  [ long-grain-white-rice -> en:long-grain-white-rice  ]  [ grain-white-rice -> en:grain-white-rice  ]  [ white-rice -> en:white-rice  ]  [ rice -> en:rice  ] 			0			0							en:to-be-completed, en:nutrition-facts-completed, en:ingredients-completed, en:expiration-date-to-be-completed, en:packaging-code-to-be-completed, en:characteristics-to-be-completed, en:categories-to-be-completed, en:brands-completed, en:packaging-to-be-completed, en:quantity-to-be-completed, en:product-name-completed, en:photos-to-be-uploaded	en:to-be-completed,en:nutrition-facts-completed,en:ingredients-completed,en:expiration-date-to-be-completed,en:packaging-code-to-be-completed,en:characteristics-to-be-completed,en:categories-to-be-completed,en:brands-completed,en:packaging-to-be-completed,en:quantity-to-be-completed,en:product-name-completed,en:photos-to-be-uploaded	A compléter,Informations nutritionnelles complétées,Ingrédients complétés,Date limite à compléter,en:Packaging-code-to-be-completed,Caractéristiques à compléter,Catégories à compléter,Marques complétées,Emballage à compléter,Quantité à compléter,Nom du produit complete,Photos à envoyer					1490																																						80											8.89												0.0027														0.044																								
0000000016124	http://world-fr.openfoodfacts.org/produit/0000000016124/organic-muesli-daddy-s-muesli	usda-ndb-import	1489055711	2017-03-09T10:35:11Z	1489055712	2017-03-09T10:35:12Z	Organic Muesli					Daddy's Muesli	daddy-s-muesli																		US	en:united-states	États-Unis	Org oats, org hemp granola (org oats, evaporated cane juice, org expeller-pressed canola oil, crispy rice [org brown rice flour, org evaporated cane juice, org molasses, sea salt], org flax seeds, org oat solids, hemp seeds), org raisins, org dates, org almonds, org hazelnuts, org coconut, org sunflower seeds, org pumpkin seeds, org flax seeds, org corn flakes (org corn meal, org grape and/or pear juice concentrate, sea salt), org quinoa amaranth flakes (org corn meal, org yellow corn flour, org evaporated cane juice, org flax, org buckwheat flour, org quinoa, org amaranth, sea salt, tocopherols [natural vitamin e]).						64 g (0.5 cup)		1	 [ org-oats -> en:org-oats  ]  [ oats -> en:oats  ]  [ org-hemp-granola -> en:org-hemp-granola  ]  [ hemp-granola -> en:hemp-granola  ]  [ granola -> en:granola  ]  [ org-oats -> en:org-oats  ]  [ oats -> en:oats  ]  [ evaporated-cane-juice -> en:evaporated-cane-juice  ]  [ cane-juice -> en:cane-juice  ]  [ juice -> en:juice  ]  [ org-expeller-pressed-canola-oil -> en:org-expeller-pressed-canola-oil  ]  [ expeller-pressed-canola-oil -> en:expeller-pressed-canola-oil  ]  [ pressed-canola-oil -> en:pressed-canola-oil  ]  [ canola-oil -> en:canola-oil  ]  [ oil -> en:oil  ]  [ crispy-rice -> en:crispy-rice  ]  [ rice -> en:rice  ]  [ org-brown-rice-flour -> en:org-brown-rice-flour  ]  [ brown-rice-flour -> en:brown-rice-flour  ]  [ rice-flour -> en:rice-flour  ]  [ flour -> en:flour  ]  [ org-evaporated-cane-juice -> en:org-evaporated-cane-juice  ]  [ evaporated-cane-juice -> en:evaporated-cane-juice  ]  [ cane-juice -> en:cane-juice  ]  [ juice -> en:juice  ]  [ org-molasses -> en:org-molasses  ]  [ molasses -> en:molasses  ]  [ sea-salt -> en:sea-salt  ]  [ salt -> en:salt  ]  [ org-flax-seeds -> en:org-flax-seeds  ]  [ flax-seeds -> en:flax-seeds  ]  [ seeds -> en:seeds  ]  [ org-oat-solids -> en:org-oat-solids  ]  [ oat-solids -> en:oat-solids  ]  [ solids -> en:solids  ]  [ hemp-seeds -> en:hemp-seeds  ]  [ seeds -> en:seeds  ]  [ org-raisins -> en:org-raisins  ]  [ raisins -> en:raisins  ]  [ org-dates -> en:org-dates  ]  [ dates -> en:dates  ]  [ org-almonds -> en:org-almonds  ]  [ almonds -> en:almonds  ]  [ org-hazelnuts -> en:org-hazelnuts  ]  [ hazelnuts -> en:hazelnuts  ]  [ org-coconut -> en:org-coconut  ]  [ coconut -> en:coconut  ]  [ org-sunflower-seeds -> en:org-sunflower-seeds  ]  [ sunflower-seeds -> en:sunflower-seeds  ]  [ seeds -> en:seeds  ]  [ org-pumpkin-seeds -> en:org-pumpkin-seeds  ]  [ pumpkin-seeds -> en:pumpkin-seeds  ]  [ seeds -> en:seeds  ]  [ org-flax-seeds -> en:org-flax-seeds  ]  [ flax-seeds -> en:flax-seeds  ]  [ seeds -> en:seeds  ]  [ org-corn-flakes -> en:org-corn-flakes  ]  [ corn-flakes -> en:corn-flakes  ]  [ flakes -> en:flakes  ]  [ org-corn-meal -> en:org-corn-meal  ]  [ corn-meal -> en:corn-meal  ]  [ meal -> en:meal  ]  [ org-grape-and-or-pear-juice-concentrate -> en:org-grape-and-or-pear-juice-concentrate  ]  [ grape-and-or-pear-juice-concentrate -> en:grape-and-or-pear-juice-concentrate  ]  [ and-or-pear-juice-concentrate -> en:and-or-pear-juice-concentrate  ]  [ or-pear-juice-concentrate -> en:or-pear-juice-concentrate  ]  [ pear-juice-concentrate -> en:pear-juice-concentrate  ]  [ juice-concentrate -> en:juice-concentrate  ]  [ concentrate -> en:concentrate  ]  [ sea-salt -> en:sea-salt  ]  [ salt -> en:salt  ]  [ org-quinoa-amaranth-flakes -> en:org-quinoa-amaranth-flakes  ]  [ quinoa-amaranth-flakes -> en:quinoa-amaranth-flakes  ]  [ amaranth-flakes -> en:amaranth-flakes  ]  [ flakes -> en:flakes  ]  [ org-corn-meal -> en:org-corn-meal  ]  [ corn-meal -> en:corn-meal  ]  [ meal -> en:meal  ]  [ org-yellow-corn-flour -> en:org-yellow-corn-flour  ]  [ yellow-corn-flour -> en:yellow-corn-flour  ]  [ corn-flour -> en:corn-flour  ]  [ flour -> en:flour  ]  [ org-evaporated-cane-juice -> en:org-evaporated-cane-juice  ]  [ evaporated-cane-juice -> en:evaporated-cane-juice  ]  [ cane-juice -> en:cane-juice  ]  [ juice -> en:juice  ]  [ org-flax -> en:org-flax  ]  [ flax -> en:flax  ]  [ org-buckwheat-flour -> en:org-buckwheat-flour  ]  [ buckwheat-flour -> en:buckwheat-flour  ]  [ flour -> en:flour  ]  [ org-quinoa -> en:org-quinoa  ]  [ quinoa -> en:quinoa  ]  [ org-amaranth -> en:org-amaranth  ]  [ amaranth -> en:e123  -> exists  -- mandatory_additive_class: colour (current: ingredient)  ]  [ amaranth -> en:e123  -- already seen  ]  [ sea-salt -> en:sea-salt  ]  [ salt -> en:salt  ]  [ tocopherols -> en:e307c  -> exists  -- ok  ]  [ natural-vitamin-e -> en:natural-vitamin-e  ]  [ vitamin-e -> en:vitamin-e  ]  [ e -> en:e  ] 	en:e307c	E307c - Tocophérol	0			0				c			en:to-be-completed, en:nutrition-facts-completed, en:ingredients-completed, en:expiration-date-to-be-completed, en:packaging-code-to-be-completed, en:characteristics-to-be-completed, en:categories-to-be-completed, en:brands-completed, en:packaging-to-be-completed, en:quantity-to-be-completed, en:product-name-completed, en:photos-to-be-uploaded	en:to-be-completed,en:nutrition-facts-completed,en:ingredients-completed,en:expiration-date-to-be-completed,en:packaging-code-to-be-completed,en:characteristics-to-be-completed,en:categories-to-be-completed,en:brands-completed,en:packaging-to-be-completed,en:quantity-to-be-completed,en:product-name-completed,en:photos-to-be-uploaded	A compléter,Informations nutritionnelles complétées,Ingrédients complétés,Date limite à compléter,en:Packaging-code-to-be-completed,Caractéristiques à compléter,Catégories à compléter,Marques complétées,Emballage à compléter,Quantité à compléter,Nom du produit complete,Photos à envoyer					1833		18.75	4.69																																			57.81	15.62									9.4	14.06				0.1397	0.055																					0.062		0.00422																			7	7		
0000000016193	http://world-fr.openfoodfacts.org/produit/0000000016193/organic-dark-chocolate-minis-equal-exchange	usda-ndb-import	1489055651	2017-03-09T10:34:11Z	1489055651	2017-03-09T10:34:11Z	Organic Dark Chocolate Minis					Equal Exchange	equal-exchange																		US	en:united-states	États-Unis	Organic chocolate liquor, organic raw cane sugar, organic cocoa butter, organic unrefined whole cane sugar, organic ground vanilla beans.						40 g (40 g)		0	 [ organic-chocolate-liquor -> en:organic-chocolate-liquor  ]  [ chocolate-liquor -> en:chocolate-liquor  ]  [ liquor -> en:liquor  ]  [ organic-raw-cane-sugar -> en:organic-raw-cane-sugar  ]  [ raw-cane-sugar -> en:raw-cane-sugar  ]  [ cane-sugar -> en:cane-sugar  ]  [ sugar -> en:sugar  ]  [ organic-cocoa-butter -> en:organic-cocoa-butter  ]  [ cocoa-butter -> en:cocoa-butter  ]  [ butter -> en:butter  ]  [ organic-unrefined-whole-cane-sugar -> en:organic-unrefined-whole-cane-sugar  ]  [ unrefined-whole-cane-sugar -> en:unrefined-whole-cane-sugar  ]  [ whole-cane-sugar -> en:whole-cane-sugar  ]  [ cane-sugar -> en:cane-sugar  ]  [ sugar -> en:sugar  ]  [ organic-ground-vanilla-beans -> en:organic-ground-vanilla-beans  ]  [ ground-vanilla-beans -> en:ground-vanilla-beans  ]  [ vanilla-beans -> en:vanilla-beans  ]  [ beans -> en:beans  ] 			0			0							en:to-be-completed, en:nutrition-facts-completed, en:ingredients-completed, en:expiration-date-to-be-completed, en:packaging-code-to-be-completed, en:characteristics-to-be-completed, en:categories-to-be-completed, en:brands-completed, en:packaging-to-be-completed, en:quantity-to-be-completed, en:product-name-completed, en:photos-to-be-uploaded	en:to-be-completed,en:nutrition-facts-completed,en:ingredients-completed,en:expiration-date-to-be-completed,en:packaging-code-to-be-completed,en:characteristics-to-be-completed,en:categories-to-be-completed,en:brands-completed,en:packaging-to-be-completed,en:quantity-to-be-completed,en:product-name-completed,en:photos-to-be-uploaded	A compléter,Informations nutritionnelles complétées,Ingrédients complétés,Date limite à compléter,en:Packaging-code-to-be-completed,Caractéristiques à compléter,Catégories à compléter,Marques complétées,Emballage à compléter,Quantité à compléter,Nom du produit complete,Photos à envoyer					2406		37.5	22.5																																			55	42.5									7.5	5																										0.05		0.01125																						
0000000016513	http://world-fr.openfoodfacts.org/produit/0000000016513/organic-sunflower-oil-napa-valley-naturals	usda-ndb-import	1489055654	2017-03-09T10:34:14Z	1489055654	2017-03-09T10:34:14Z	Organic Sunflower Oil					Napa Valley Naturals	napa-valley-naturals																		US	en:united-states	États-Unis	Organic expeller pressed, refined high oleic sunflower oil						14 g (1 Tbsp)		0	 [ organic-expeller-pressed -> en:organic-expeller-pressed  ]  [ expeller-pressed -> en:expeller-pressed  ]  [ pressed -> en:pressed  ]  [ refined-high-oleic-sunflower-oil -> en:refined-high-oleic-sunflower-oil  ]  [ high-oleic-sunflower-oil -> en:high-oleic-sunflower-oil  ]  [ oleic-sunflower-oil -> en:oleic-sunflower-oil  ]  [ sunflower-oil -> en:sunflower-oil  ]  [ oil -> en:oil  ] 			0			0							en:to-be-completed, en:nutrition-facts-completed, en:ingredients-completed, en:expiration-date-to-be-completed, en:packaging-code-to-be-completed, en:characteristics-to-be-completed, en:categories-to-be-completed, en:brands-completed, en:packaging-to-be-completed, en:quantity-to-be-completed, en:product-name-completed, en:photos-to-be-uploaded	en:to-be-completed,en:nutrition-facts-completed,en:ingredients-completed,en:expiration-date-to-be-completed,en:packaging-code-to-be-completed,en:characteristics-to-be-completed,en:categories-to-be-completed,en:brands-completed,en:packaging-to-be-completed,en:quantity-to-be-completed,en:product-name-completed,en:photos-to-be-uploaded	A compléter,Informations nutritionnelles complétées,Ingrédients complétés,Date limite à compléter,en:Packaging-code-to-be-completed,Caractéristiques à compléter,Catégories à compléter,Marques complétées,Emballage à compléter,Quantité à compléter,Nom du produit complete,Photos à envoyer					3586		100	7.14																																																																																																
