Name,Latitude,Longitude,City,States
[ANB],33.58,85.85,Anniston,AL
[AUO],32.67,85.44,Auburn,AL
[BHM],33.57,86.75,Birmingham,AL
[CKL],32.90,87.25,Centreville,AL
[DHN],31.32,85.45,Dothan,AL
[OZR],31.28,85.72,FortRucker,AL
[GAD],33.97,86.09,Gadsden,AL
[HSV],34.65,86.77,Huntsville,AL
[MXF],32.38,86.37,MaxwellAFB,AL
[MOB],30.68,88.25,Mobile,AL
[BFM],30.63,88.07,MobileAeros,AL
[MGM],32.30,86.40,Montgomery,AL
[MSL],34.75,87.62,MuscleShoal,AL
[SEM],32.34,86.99,Selma,AL
[TOI],31.87,86.02,Troy,AL
[TCL],33.23,87.62,Tuscaloosa,AL
[ADK],51.88,176.65,Adak,AK
[Z60],67.10,157.85,Ambler,AK
[ANC],61.17,150.02,Anchorage,AK
[MRI],61.22,149.85,Anchorage,AK
[AGN],57.83,134.97,Angoon,AK
[ANI],61.58,159.53,Aniak,AK
[ANN],55.03,131.57,AnnetteIsl,AK
[ATU],53.50,173.30,Attu,AK
[BRW],71.30,156.78,Barrow,AK
[BTI],70.13,143.63,BarterIslan,AK
[BET],60.78,161.80,BethelArpt,AK
[BTT],66.92,151.52,Bettles,AK
[BIG],64.00,145.73,BigDelta,AK
[5BI],60.82,152.30,BigRiverLk,AK
[Z68],63.38,148.95,Cantwell,AK
[CDE],56.00,134.22,CapeDecis,AK
[5HN],60.38,147.08,CapeHinchi,AK
[CSP],58.33,137.05,CapeSpence,AK
[5CE],60.33,145.00,CapeStEli,AK
[WCR],67.50,148.48,ChandalarLk,AK
[Z00],62.88,149.83,Chulitna,AK
[CRC],65.83,144.07,CircleCity,AK
[CDB],55.20,162.72,ColdBay,AK
[CDV],60.50,145.50,Cordova,AK
[CGA],55.80,133.25,Craig,AK
[SCC],70.20,148.47,Deadhorse,AK
[DLG],59.05,158.52,Dillingham,AK
[5SZ],62.73,143.92,DuffysTavern,AK
[DUT],53.88,166.53,DutchHarbor,AK
[EAA],64.77,141.15,EagleArpt,AK
[ERO],59.62,135.37,EldredRock,AK
[ELV],58.20,136.35,ElfinCove,AK
[FAI],64.82,147.87,Fairbanks,AK
[FWL],62.85,154.47,Farewell,AK
[FIV],57.45,134.03,FiveFinger,AK
[FVM],65.93,149.83,FiveMile,AK
[FYU],66.57,145.27,FortYukon,AK
[FNR],58.25,134.90,FunterBay,AK
[GBH],68.48,149.48,GalbraithLk,AK
[GAM],63.77,171.73,Gambell,AK
[GKN],62.15,145.45,GulkanaArpt,AK
[GST],58.42,135.73,Gustavus,AK
[Z26],59.23,135.43,HainesHrbor,AK
[5HR],61.98,152.08,HayesRiver,AK
[5EA],63.83,149.00,HealyRiver,AK
[HOM],59.63,151.50,Homer,AK
[Z49],58.10,135.45,HoonahSeapl,AK
[ILI],59.75,154.92,IliamnaArpt,AK
[JNU],58.37,134.58,Juneau,AK
[KAE],56.97,133.95,KakeSeaplan,AK
[ENA],60.57,151.25,Kenai,AK
[KTN],55.35,131.70,Ketchikan,AK
[AKN],58.68,156.65,KingSalmon,AK
[ADQ],57.75,152.50,Kodiak,AK
[OTZ],66.87,162.63,Kotzebue,AK
[5WO],61.63,149.03,LazyMtn,AK
[LNI],70.92,153.23,Lonely(dew),AK
[MLY],65.00,150.65,ManleyHtSp,AK
[MXY],61.43,142.92,Mccarthy,AK
[MCG],62.97,155.62,Mcgrath,AK
[MYU],60.37,166.27,Mekoryuk,AK
[MDO],59.43,146.33,MiddletonIs,AK
[MHM],63.90,152.27,Minchumina,AK
[ENN],64.55,149.08,Nenana,AK
[KSM],62.07,163.30,NewAndreafs,AK
[IKO],53.58,169.42,Nikolski,AK
[OME],64.50,165.43,Nome,AK
[ORT],62.97,141.93,Northway,AK
[OLI],70.50,149.88,OliktokDew,AK
[PAQ],61.60,149.08,Palmer,AK
[5PX],63.03,145.50,Paxson,AK
[PSG],56.82,132.97,Petersburg,AK
[PIZ],69.82,162.92,PointLay,AK
[Z76],56.25,134.65,PortAlexndr,AK
[KPC],65.25,166.87,PortClarnce,AK
[PTH],56.95,158.62,PortHeiden,AK
[PPC],66.82,150.65,ProspectCrk,AK
[PUO],70.25,148.33,PrudhoeBay,AK
[Z30],60.20,154.30,PtAlsworth,AK
[PTI],62.17,153.25,Puntilla,AK
[SDP],55.33,160.50,SandPoint,AK
[5WD],60.18,149.75,Seward,AK
[SYA],53.20,174.13,Shemy,AK
[SHH],66.27,166.03,Shishmaref,AK
[SIT],57.07,135.35,Sitka,AK
[SKJ],56.88,154.20,Sitkinak,AK
[SGY],59.75,135.53,Skagway,AK
[SKW],61.97,151.20,Skwentna,AK
[5SO],62.03,146.67,SnowshoeLk,AK
