Date,Open,High,Low,Close,Volume,Adj Close
2013-01-01,42.58,42.58,42.58,42.58,000,42.58
2012-12-31,42.01,42.61,41.80,42.58,806100,42.58
2012-12-28,43.71,43.71,42.22,42.33,2604900,42.33
2012-12-27,43.22,43.76,43.20,43.44,2168700,43.44
2012-12-26,43.41,43.41,43.41,43.41,000,43.41
2012-12-25,43.41,43.41,43.41,43.41,000,43.41
2012-12-24,43.65,43.84,43.15,43.41,921800,43.41
2012-12-21,44.33,44.42,43.63,43.65,8243000,43.65
2012-12-20,44.74,44.83,44.44,44.54,2894500,44.54
2012-12-19,44.50,44.76,44.19,44.56,4075500,44.56
2012-12-18,44.00,44.36,43.67,43.86,3052700,43.86
2012-12-17,43.81,43.92,43.21,43.85,2484100,43.85
2012-12-14,43.21,43.92,43.03,43.92,3088400,43.92
2012-12-13,43.36,43.51,42.88,43.22,3042200,43.22
2012-12-12,43.20,43.47,42.85,43.16,3132900,43.16
2012-12-11,43.28,43.35,42.66,43.17,3555900,43.17
2012-12-10,43.53,43.65,42.40,43.19,4722300,43.19
2012-12-07,44.12,44.32,43.62,44.03,3007800,44.03
2012-12-06,43.78,44.30,43.39,43.94,4798900,43.94
2012-12-05,43.90,43.98,42.96,43.38,3562600,43.38
2012-12-04,42.40,43.60,42.40,43.13,2957200,43.13
2012-12-03,43.04,43.48,42.53,42.57,2959300,42.57
2012-11-30,42.80,43.25,42.69,42.94,5149600,42.94
2012-11-29,42.37,42.83,42.21,42.83,3394400,42.83
2012-11-28,41.87,42.12,41.17,41.99,2692400,41.99
2012-11-27,42.26,42.49,41.87,42.11,2844800,42.11
2012-11-26,42.28,42.58,41.61,41.82,2794900,41.82
2012-11-23,42.11,42.60,41.61,42.60,2746500,42.60
2012-11-22,41.74,42.10,41.59,41.92,2217700,41.92
2012-11-21,41.11,41.80,40.78,41.53,3908600,41.53
2012-11-20,40.90,41.28,40.38,41.08,3804200,41.08
2012-11-19,39.85,41.15,39.71,41.08,4314000,41.08
2012-11-16,40.06,40.35,39.26,39.26,5717600,39.26
2012-11-15,39.67,40.70,39.58,40.30,3434600,40.30
2012-11-14,40.69,40.85,39.94,40.08,3878200,40.08
2012-11-13,39.17,40.56,39.10,40.50,4582700,40.50
2012-11-12,39.44,39.90,39.00,39.53,2352100,39.53
2012-11-09,40.08,40.24,38.62,39.46,5035600,39.46
2012-11-08,40.30,40.54,39.92,40.05,4580900,40.05
2012-11-07,40.75,41.24,39.54,39.54,9310100,39.54
2012-11-06,38.93,39.48,38.61,39.12,3902600,39.12
2012-11-05,38.62,39.06,38.55,38.64,2835800,38.64
2012-11-02,38.98,39.58,38.80,38.97,4773300,38.97
2012-11-01,38.56,39.57,38.51,38.97,3608400,38.97
2012-10-31,39.06,39.59,38.78,38.81,3631100,38.81
2012-10-30,39.24,39.64,39.09,39.40,3217700,39.40
2012-10-29,38.92,39.18,38.53,38.99,3770000,38.99
2012-10-26,39.00,39.29,38.21,39.12,7002400,39.12
2012-10-25,40.01,40.75,39.51,39.62,3362000,39.62
2012-10-24,40.16,40.32,39.35,40.29,4033000,40.29
2012-10-23,40.88,41.20,39.51,40.04,4903300,40.04
2012-10-22,40.65,41.65,40.54,40.90,3283200,40.90
2012-10-19,41.61,41.85,40.51,40.79,5468600,40.79
2012-10-18,41.80,41.94,41.02,41.78,4829500,41.78
2012-10-17,41.00,41.86,40.80,41.76,6684800,41.76
2012-10-16,39.40,40.85,39.31,40.69,6575200,40.69
2012-10-15,38.32,39.30,38.32,39.01,2949000,39.01
2012-10-12,38.67,39.35,38.45,38.45,4413900,38.45
2012-10-11,37.31,38.99,37.25,38.79,4313300,38.79
2012-10-10,37.80,38.29,37.58,37.69,2615800,37.69
2012-10-09,38.85,38.92,37.99,38.06,3479800,38.06
2012-10-08,39.00,39.00,38.62,38.67,2950900,38.67
2012-10-05,38.12,39.63,38.11,39.39,4873200,39.39
2012-10-04,38.12,38.43,37.63,38.04,3884100,38.04
2012-10-03,37.52,38.17,37.33,37.81,3681100,37.81
2012-10-02,37.94,38.54,37.51,37.69,4174700,37.69
2012-10-01,36.58,38.47,36.56,38.27,5694100,38.27
2012-09-28,38.22,38.58,36.93,36.98,5753300,36.98
2012-09-27,37.78,38.03,37.10,37.90,4139000,37.90
2012-09-26,38.86,38.94,37.21,37.33,7122400,37.33
