Label	f0	f1	f2	f3	f4	f5	f6	f7	f8	f9	f10	f11	f12	f13	f14	f15	f16
1	-3.61320986340826	0	0.75	-8	-3.15524669961101	-2.75585443188293	12.110887411592	-3.70497293003191	-1.86228502978986	-3.73716129168124	-2.64244732118761	-5.82643440046695	0	1	-10	0.380310622448585	1.95877940480469
1	-3.61320986340826	0	0.75	-8	-3.15524669961101	-2.75585443188293	12.110887411592	-3.70497293003191	-1.86228502978986	-3.73716129168124	-2.64244732118761	-5.82643440046695	0	1	-10	0.380310622448585	1.95877940480469
0	-5.82643440046695	0	0.75	-8	-3.14362902389505	-2.48532042129429	11.8443661006643	-2.70030533582701	-2.07411528801617	-3.20695373489985	-3.08613148596418	-9.31780885944224	0	1	-10	-10	-7.33409662712347
1	-1.89206413234012	1	0.5	-8	-1.866555517053	-2.4896056253891	9.3424226808222	-2.4896056253891	-2.4896056253891	-1.866555517053	-1.866555517053	-5.65525875047536	0	2	-10	-10	1.1172612477581
0	-5.65525875047536	0	1.0	-8	-2.89007953277833	-2.22593484101268	12.222039778416	-2.79551302374365	-1.65635665828172	-3.11180824669597	-2.66835081886069	-9.02200466579037	0	2	-10	-10	-4.97326057679573
0	-9.02200466579037	0	1.0	-8	-2.89888951811964	-2.44663506201132	12.2607262989151	-2.51375150143686	-2.37951862258577	-3.12942821737858	-2.66835081886069	-12.0066702047297	0	1	-10	-10	-9.59794565721305
0	-0.473674585486231	0	0.4	-8	-2.64819804318576	-2.42969803000629	10.0001085464861	-2.58423120025011	-2.27516485976247	-2.75350066417749	-2.54289542219403	-4.20566018863314	0	5	-10	0.103664354571869	5.12982799296928
1	-4.20566018863314	0	0.8	-8	-2.6530463943515	-2.32162026482572	11.5870069005262	-2.58423120025011	-2.12036736213133	-2.75350066417749	-2.58097996001117	-13.7408824399003	0	5	-10	0.169595633594617	-0.69033616924242
1	-4.20566018863314	0	0.8	-8	-2.6530463943515	-2.32162026482572	11.5870069005262	-2.58423120025011	-2.12036736213133	-2.75350066417749	-2.58097996001117	-13.7408824399003	0	5	-10	0.169595633594617	-0.69033616924242
1	-2.15409063310927	0	1.0	-8	-3.05402307245931	-2.68371148575241	12.0709520496626	-2.78566498504251	-2.58175798646232	-3.08178221555192	-3.0262639293667	-5.39749623934949	0	2	-10	-10	2.52976013703354
1	-2.15409063310927	0	1.0	-8	-3.05402307245931	-2.68371148575241	12.0709520496626	-2.78566498504251	-2.58175798646232	-3.08178221555192	-3.0262639293667	-5.39749623934949	0	2	-10	-10	2.52976013703354
0	-5.39749623934949	0	1.0	-8	-3.05402307245931	-2.33484048959698	12.0709520496626	-2.78566498504251	-1.88401599415146	-3.08178221555192	-3.0262639293667	-11.0230277977453	0	2	-10	-10	-5.61183850374037
1	-0.964488121962966	0	1.0	-8	-3.0884098030899	-2.7163346751465	9.38171399678147	-2.79726481781631	-2.63540453247668	-3.34211692209748	-2.83470268408232	-6.79017422355785	0	10	-10	0.493288702019651	13.2498483462294
0	-6.79017422355785	0	1.0	-8	-3.0884098030899	-2.13217064676699	9.38171399678147	-2.79726481781631	-1.46707647571766	-3.34211692209748	-2.83470268408232	-18.1628232108172	0	10	-10	-10	0.854548859359373
0	-18.1628232108172	0	1.0	-8	-3.0884098030899	-2.27940827779715	9.38171399678147	-2.79726481781631	-1.76155173777799	-3.34211692209748	-2.83470268408232	-238.428007484672	0	10	-10	-10	-12.2431777326782
1	-4.23043873217383	0	1.0	-8	-2.67779694465885	-2.33178903108233	11.37141498656	-2.70345190435859	-1.83394838157803	-3.1927352797645	-1.9765418412312	-7.33134143702289	0	4	-10	0.239247682028949	4.7396978394406
1	-4.23043873217383	0	1.0	-8	-2.67779694465885	-2.33178903108233	11.37141498656	-2.70345190435859	-1.83394838157803	-3.1927352797645	-1.9765418412312	-7.33134143702289	0	4	-10	0.239247682028949	4.7396978394406
0	-7.33134143702289	0	1.0	-8	-2.67779694465885	-2.02547019052141	11.37141498656	-2.70345190435859	-1.53901028562761	-3.1927352797645	-1.9765418412312	-8.29735813040544	0	4	-10	-10	-4.63486909101865
1	-4.23043873217383	0	1.0	-8	-3.05477733138808	-2.64754489431412	12.1812651140539	-2.92369473378312	-2.45796680731035	-3.19449275949508	-2.86411371298084	-7.33134143702289	0	2	-10	0.0964316424266189	4.59813854616028
1	-4.23043873217383	0	1.0	-8	-3.05477733138808	-2.64754489431412	12.1812651140539	-2.92369473378312	-2.45796680731035	-3.19449275949508	-2.86411371298084	-7.33134143702289	0	2	-10	0.0964316424266189	4.59813854616028
0	-7.33134143702289	0	1.0	-8	-3.05477733138808	-2.41780576389344	12.1812651140539	-2.92369473378312	-1.53901028562761	-3.19449275949508	-2.86411371298084	-8.03493211395193	0	2	-10	-10	-7.83771294263079
0	-0.287561500145262	0	0.5	-8	-2.48920917471595	-2.29119911496498	9.40241033936058	-2.67807654944834	-1.90432168048162	-2.86432373722719	-2.11409461220471	-3.98380478167663	0	5	-10	-0.0266099773236551	-2.10542665184316
1	-3.98380478167663	0	0.75	-8	-2.57883602174137	-2.29139413139316	10.8074087749197	-2.67807654944834	-2.07573848259983	-2.86432373722719	-2.29120436798576	-7.582275323087	0	5	-10	0.155737336981539	0.933349446490688
1	-3.98380478167663	0	0.75	-8	-2.57883602174137	-2.29139413139316	10.8074087749197	-2.67807654944834	-2.07573848259983	-2.86432373722719	-2.29120436798576	-7.582275323087	0	5	-10	0.155737336981539	0.933349446490688
1	-1.99878440792854	0	0.666666666666667	-8	-2.66106219521638	-2.60843376203981	8.99561303784625	-2.96987759180021	-2.2469899322794	-3.10652530357607	-2.21559908685669	-4.3364561979361	0	5	-10	-10	-1.13796049347928
0	-4.3364561979361	0	1.0	-8	-2.90929966640767	-2.73071104689461	10.6831752606183	-2.96987759180021	-2.35541570293152	-3.25176414986277	-2.36960954578419	-5.47903383276576	0	5	-10	0.0602533907539369	-3.95470558345693
0	-5.47903383276576	0	0.666666666666667	-8	-2.66106219521638	-2.35086731006637	8.99561303784625	-2.96987759180021	-1.73185702833253	-3.10652530357607	-2.21559908685669	-6.89080007804757	0	5	-10	-10	-2.51538200678638
0	-1.17539315872579	0	0.5	-8	-3.77214819824116	-2.84444820321888	11.0175138398184	-3.58629126696031	-2.10260513947744	-3.87091000314746	-3.67338639333485	-1.39000848757515	0	1	0.755577712075068	0.430739007956617	1.30811004630664
1	-1.39000848757515	0	0.5	-8	-3.22770103381765	-2.26596484122993	12.1853727684205	-2.42932454298243	-2.10260513947744	-3.67338639333485	-2.78201567430045	-14.0957538280588	0	4	-10	0.481021601891039	18.460791062727
1	-1.39000848757515	0	0.5	-8	-3.22770103381765	-2.26596484122993	12.1853727684205	-2.42932454298243	-2.10260513947744	-3.67338639333485	-2.78201567430045	-14.0957538280588	0	4	-10	0.481021601891039	18.460791062727
0	-0.00684153181671671	0	0.5	-8	-2.31867391562878	-2.15117978100665	10.4396741181245	-2.69789367559033	-1.60446588642298	-2.94813787652252	-1.68920995473504	-0.340832062029562	0	1	-10	0.0656099336273669	-4.43669529401632
0	-0.340832062029562	0	0.5	-8	-2.401823387683	-2.09208563931578	10.8947286577607	-2.57970539220858	-1.60446588642298	-3.11443682063097	-1.68920995473504	-1.03483944129836	0	2	-10	0.0656099336273669	-2.8062123964689
1	-1.03483944129836	1	0.25	-8	-3.05011973179891	-2.47456660396549	9.67209785793572	-2.47456660396549	-2.47456660396549	-3.05011973179891	-3.05011973179891	-2.75563198201382	0	3	-10	0.387190969768453	3.48095925909702
1	-7.25212996105324	0	0.6	-8	-3.01667054270142	-2.04789935821453	11.2952693981681	-2.44650488635018	-1.84581522684742	-3.55103081830187	-2.61673768926403	-7.28182927547919	0	2	-10	0.0867862662666051	2.34766636048581
0	-7.28182927547919	0	0.6	-8	-3.02047875226899	-2.35596036125173	10.5689437490703	-3.37068789546178	-1.84581522684742	-3.56245544700458	-2.61673768926403	-11.240220939879	0	1	-10	-10	-9.64530221725293
0	-11.240220939879	0	0.8	-8	-3.05959769580468	-2.41340280930643	12.2629735657177	-2.68943004054037	-1.84581522684742	-3.62552112859936	-2.61673768926403	-11.5818734515141	0	1	-10	-10	-9.54283434113566
0	-3.81443790758061	0	0.75	-8	-2.79028196712648	-2.32970083231447	12.6527590558393	-2.68943004054037	-2.1115075311301	-3.27565370898452	-2.49146006267222	-3.87965581687176	0	1	-10	-10	-10.2755098488565
1	-3.87965581687176	0	1.0	-8	-2.82176469463942	-2.26352342604831	13.2286313877841	-2.68943004054037	-1.66490963783905	-3.27565370898452	-2.4793996837398	-7.55652993801039	0	1	-10	0.492809600774439	6.76414311065056
0	-7.55652993801039	0	0.75	-8	-2.79028196712648	-2.17164858041081	12.6527590558393	-2.68943004054037	-1.63735077541913	-3.27565370898452	-2.49146006267222	-10.5721332297299	0	1	-10	-10	-8.11204292507231
0	-3.21815430725039	0	0.4	-8	-3.09432897249745	-2.52040167587082	8.0	-2.97634586625859	-2.06445748548305	-3.66883138871841	-2.51982655627648	-3.76126838113554	0	1	-10	-10	-6.91419906753124
1	-3.76126838113554	0	0.6	-8	-2.74893629762167	-2.50135771474494	11.4489591646175	-2.7501856182114	-2.06445748548305	-3.27565370898452	-2.45132862760399	-6.18110981225174	0	1	-10	0.0602533907539369	-0.270628231588358
0	-6.18110981225174	0	0.6	-8	-3.19292075227057	-3.06146219338564	10.2263955654218	-3.51433312454343	-2.6937075893549	-3.66883138871841	-2.92036125846721	-6.72422388613688	0	1	0.552079817487167	-10	-6.90393096064775
0	-7.77077625699791	0	1.0	-8	-2.85432017231572	-2.21075834756015	12.7208702526393	-2.68943004054037	-1.90089318337734	-3.27565370898452	-2.43589052622487	-10.1626269967142	0	1	-10	-10	-9.37810772583367
0	-10.1626269967142	0	0.75	-8	-2.59075674552486	-1.77805122544679	11.9544301462381	-2.07411528801617	-1.35914520494686	-3.13780185082113	-2.19857785952859	-10.502291744034	0	1	-10	-10	-4.97606791496636
1	-10.502291744034	0	1.0	-8	-2.85432017231572	-3.08959850692655	12.7208702526393	-5.58947592548175	-1.90089318337734	-3.27565370898452	-2.43589052622487	-11.2621507159732	0	1	-10	-10	2.85616290298127
0	-3.03608388581212	0	0.75	-8	-2.90373880982091	-2.33005302441575	11.7132618490239	-2.68943004054037	-1.67023944934439	-3.27565370898452	-2.51779831180208	-3.25300836372066	0	1	-10	0.262385591178005	-4.80693666217487
0	-3.25300836372066	0	0.75	-8	-2.77063186069456	-2.37450924096913	13.0307965520699	-3.15685168767419	-1.27724599469283	-3.27565370898452	-1.97792900415058	-3.28936746780389	0	1	-10	0.172576010730513	-6.37978521928422
1	-3.28936746780389	0	0.5	-8	-2.35370926039771	-1.78868013381043	11.3046296111256	-2.30011427292803	-1.27724599469283	-2.72948951664484	-1.97792900415058	-5.86224032556579	0	1	-10	0.342670590517279	2.33202880676755
0	-4.58560299141079	0	0.75	-8	-2.56250850895351	-2.26452511308917	12.243553940064	-3.15685168767419	-0.94729361105294	-3.27565370898452	-1.35355894892745	-4.62196209549401	0	1	-10	-10	-9.18435829469957
0	-4.62196209549401	0	0.5	-8	-2.04152423278615	-1.62370394199048	10.1237656931168	-2.30011427292803	-0.94729361105294	-2.72948951664484	-1.35355894892745	-4.8938623127502	0	1	-10	-10	-5.97617341355154
1	-4.8938623127502	0	0.5	-8	-1.90201865866319	-1.33168586932891	9.8349372512449	-1.71607812760487	-0.94729361105294	-2.45047836839892	-1.35355894892745	-7.19483495325592	0	1	-10	-10	3.28098070179201
0	-2.62188090605437	0	1.0	-8	-3.08962350036638	-2.64686391524156	13.2653858072913	-3.15685168767419	-2.24823122441209	-3.53562788222551	-2.58125069169231	-2.94862157022117	0	1	-10	0.033881948363585	-6.0369282676192
1	-2.94862157022117	0	0.75	-8	-2.80568235526069	-2.4860022265551	12.8671590521995	-2.68943004054037	-2.24823122441209	-3.27565370898452	-2.56014266510522	-5.01551227117576	0	1	-10	0.0964316424266189	-1.14978570123677
0	-5.01551227117576	1	0.25	-8	-1.37657685373093	-0.301029987412386	8.69897000433602	-0.301029987412386	-0.301029987412386	-1.37657685373093	-1.37657685373093	-12.072584542545	0	1	-10	-10	-1.82804387182186
0	-6.66801277242479	0	1.0	-8	-2.70146480461296	-2.81365170558656	12.4612981959179	-3.84103552837298	-1.91048954784633	-3.27565370898452	-2.40782185534102	-6.7803507559691	0	1	-10	-10	-9.64688872499576
1	-6.7803507559691	0	1.0	-8	-2.70146480461296	-2.01802594915404	12.4612981959179	-2.68943004054037	-1.45415825907543	-3.27565370898452	-2.40782185534102	-8.87860928493781	0	1	-10	-10	-2.03946636527581
1	-6.7803507559691	0	1.0	-8	-2.70146480461296	-2.01802594915404	12.4612981959179	-2.68943004054037	-1.45415825907543	-3.27565370898452	-2.40782185534102	-8.87860928493781	0	1	-10	-10	-2.03946636527581
0	-10.5333354803005	0	1.0	-8	-2.69742242271909	-2.4540461025948	12.5995057935357	-3.84103552837298	-1.32647966466852	-3.27565370898452	-2.25177289483991	-10.6456734638449	0	1	-10	-10	-9.19646834219987
1	-10.6456734638449	0	1.0	-8	-2.69742242271909	-1.97667064873529	12.5995057935357	-2.68943004054037	-1.32647966466852	-3.27565370898452	-2.25177289483991	-12.7439319928136	0	1	-10	-10	0.339921275987626
1	-10.6456734638449	0	1.0	-8	-2.69742242271909	-1.97667064873529	12.5995057935357	-2.68943004054037	-1.32647966466852	-3.27565370898452	-2.25177289483991	-12.7439319928136	0	1	-10	-10	0.339921275987626
1	-2.24852397924967	0	0.75	-8	-2.76950757431923	-2.28540516979283	12.5011989369673	-2.68943004054037	-1.81047019833485	-3.27565370898452	-2.38070559846013	-9.92219831543104	0	1	-10	0.190842363596957	4.66604765662174
1	-2.24852397924967	0	0.75	-8	-2.76950757431923	-2.28540516979283	12.5011989369673	-2.68943004054037	-1.81047019833485	-3.27565370898452	-2.38070559846013	-9.92219831543104	0	1	-10	0.190842363596957	4.66604765662174
0	-9.92219831543104	0	1.0	-8	-2.83425102684024	-3.32617755244451	12.9658614514414	-5.67644356402351	-2.44488632045809	-3.27565370898452	-2.38070559846013	-10.4978759448473	0	1	-10	-10	1.03514301163695
1	-1.53227667869822	1	0.5	-8	-2.18962998562898	-2.15533541643958	8.60205999132796	-2.15533541643958	-2.15533541643958	-2.18962998562898	-2.18962998562898	-4.75894812554887	0	1	-10	0.671591211807393	9.76108241545584
1	-1.53227667869822	1	0.5	-8	-2.18962998562898	-2.15533541643958	8.60205999132796	-2.15533541643958	-2.15533541643958	-2.18962998562898	-2.18962998562898	-4.75894812554887	0	1	-10	0.671591211807393	9.76108241545584
