Label	f0	f1	f2	f3	f4	f5	f6	f7	f8	f9	f10	f11	f12	f13
1	-2.86929529686629	1	1.0	-8	-1.42777441684715	-1.22251630906794	9.43136376415899	-1.22251630906794	-1.22251630906794	-1.42777441684715	-1.42777441684715	-231.488930099084	0	2
0	-231.488930099084	1	1.0	-8	-8.0	-8.0	-8.0	-8.0	-8.0	-8.0	-8.0	-232.347591718121	0	2
0	-232.347591718121	1	1.0	-8	-8.0	-8.0	-8.0	-8.0	-8.0	-8.0	-8.0	-232.380631572199	0	2
0	-232.380631572199	1	1.0	-8	-1.40896630154668	-0.345233648679609	9.14612803567824	-0.345233648679609	-0.345233648679609	-1.40896630154668	-1.40896630154668	-234.185161614849	0	2
0	-234.185161614849	1	1.0	-8	-8.0	-8.0	-8.0	-8.0	-8.0	-8.0	-8.0	-234.185161614849	0	2
0	-10.7034937965484	0	0.8	-8	-2.80403647402504	-2.09567296309679	12.5632678312923	-2.70459665208611	-1.39354216106557	-3.13780185082113	-2.44854518793505	-10.8311086443672	0	2
0	-10.8311086443672	0	0.8	-8	-2.80403647402504	-2.75911879481631	12.5632678312923	-4.04732548794366	-2.07411528801617	-3.13780185082113	-2.44854518793505	-12.1659496828258	0	2
0	-12.1659496828258	0	0.8	-8	-2.80403647402504	-2.04058675636309	12.5632678312923	-2.48425182515129	-1.39354216106557	-3.13780185082113	-2.44854518793505	-12.2935645306446	0	2
0	-12.2935645306446	0	0.8	-8	-2.80403647402504	-2.70403258808261	12.5632678312923	-4.04732548794366	-2.07411528801617	-3.13780185082113	-2.44854518793505	-12.4810111924122	0	2
1	-12.4810111924122	0	0.6	-8	-2.7872312538772	-3.18675131658769	11.6040596908163	-5.95627403747818	-1.39354216106557	-3.34810716213822	-2.44854518793505	-12.6086260402311	0	2
0	-2.82764950998345	0	0.75	-8	-2.52588635158334	-2.26359740519502	9.98243215045828	-2.58810697435293	-1.95635158971367	-2.80406848287295	-2.30771350281144	-4.38092093204859	0	5
0	-4.38092093204859	0	0.75	-8	-2.52588635158334	-2.27901333819186	9.98243215045828	-2.58810697435293	-2.00259938870418	-2.80406848287295	-2.30771350281144	-5.88620771209852	0	5
0	-5.88620771209852	0	1.0	-8	-2.83621014216383	-2.32538717831525	11.2101801362302	-2.62648511011958	-1.84062297727003	-3.25176414986277	-2.46587706906565	-10.7224481664498	0	5
0	-10.7224481664498	0	1.0	-8	-2.83621014216383	-2.52773942058398	11.2101801362302	-2.65003194634492	-2.24633365151847	-3.25176414986277	-2.46587706906565	-11.0191524976659	0	5
0	-11.0191524976659	0	1.0	-8	-2.83621014216383	-3.27850949612274	11.2101801362302	-5.65311224849998	-2.24633365151847	-3.25176414986277	-2.46587706906565	-11.5087115267588	0	5
1	-4.23043873217383	0	1.0	-8	-2.9466147376853	-2.42504624247969	11.3666681735218	-2.70345190435859	-2.11372001577012	-3.1927352797645	-2.78299522031056	-7.33134143702289	0	4
0	-7.33134143702289	0	1.0	-8	-2.9466147376853	-2.11872740191878	11.3666681735218	-2.70345190435859	-1.53901028562761	-3.1927352797645	-2.78299522031056	-8.57457127926486	0	4
0	-8.57457127926486	0	1.0	-8	-3.19767119947926	-3.08911102224752	11.3760110813885	-4.10591435507361	-2.45796680731035	-3.53616460569243	-2.86411371298084	-11.6754739841139	0	2
0	-11.6754739841139	0	1.0	-8	-3.19767119947926	-2.78279218168661	11.3760110813885	-4.10591435507361	-1.53901028562761	-3.53616460569243	-2.86411371298084	-18.9654126362613	0	2
0	-18.9654126362613	0	1.0	-8	-2.9323219978829	-1.83285628382732	11.3937565018898	-2.45796680731035	-0.926882028401483	-3.14985706035729	-2.78299522031056	-21.8025232386124	0	4
1	-4.23043873217383	0	1.0	-8	-2.67779694465885	-2.33178903108233	11.37141498656	-2.70345190435859	-1.83394838157803	-3.1927352797645	-1.9765418412312	-7.33134143702289	0	4
0	-7.33134143702289	0	1.0	-8	-2.67779694465885	-2.02547019052141	11.37141498656	-2.70345190435859	-1.53901028562761	-3.1927352797645	-1.9765418412312	-8.29735813040544	0	4
0	-8.29735813040544	0	1.0	-8	-2.78654507011004	-2.64186410693918	11.3970283299709	-2.76417360914859	-2.45796680731035	-3.1927352797645	-2.30278621758477	-11.3982608352545	0	2
0	-11.3982608352545	0	1.0	-8	-2.78654507011004	-2.33554526637827	11.3970283299709	-2.76417360914859	-1.53901028562761	-3.1927352797645	-2.30278621758477	-15.5783745596317	0	2
0	-15.5783745596317	0	1.0	-8	-2.78654507011004	-2.33446773815192	11.3970283299709	-2.70345190435859	-1.8419845027868	-3.1927352797645	-2.30278621758477	-18.6792772644807	0	1
