Label	f0	f1	f2	f3	f4	f5	f6	f7	f8	f9	f10	f11	f12	f13	f14	f15	f16
1	-1.66070184817763	0	0.666666666666667	-8	-3.41164638882271	-3.20263913292946	11.5775094889482	-3.70497293003191	-2.70030533582701	-3.73716129168124	-3.08613148596418	-4.63737634222164	0	1	0.685745024360237	0.279415010330231	5.90230048687225
0	-4.63737634222164	0	1.0	-8	-3.20453007095014	-2.53674081268831	13.0398639456464	-2.83580181422175	-2.07411528801617	-3.38965687606512	-3.08613148596418	-8.12875080119693	0	1	-10	-10	-3.9452820907969
0	-8.12875080119693	0	1.0	-8	-3.20453007095014	-2.84510936586624	13.0398639456464	-2.99922094754996	-2.70030533582701	-3.38965687606512	-3.08613148596418	-8.592625147353	0	1	0.503667380337018	-10	-10.0570702184578
1	-1.66070184817763	0	0.666666666666667	-8	-3.41164638882271	-3.20263913292946	11.5775094889482	-3.70497293003191	-2.70030533582701	-3.73716129168124	-3.08613148596418	-4.63737634222164	0	1	0.685745024360237	0.279415010330231	5.90230048687225
0	-4.63737634222164	0	1.0	-8	-3.20453007095014	-2.53674081268831	13.0398639456464	-2.83580181422175	-2.07411528801617	-3.38965687606512	-3.08613148596418	-8.12875080119693	0	1	-10	-10	-3.9452820907969
0	-8.12875080119693	0	1.0	-8	-3.20453007095014	-2.84510936586624	13.0398639456464	-2.99922094754996	-2.70030533582701	-3.38965687606512	-3.08613148596418	-8.592625147353	0	1	0.503667380337018	-10	-10.0570702184578
1	-1.0542741854914	0	0.666666666666667	-8	-2.2809133198463	-2.02864016903677	10.4014723368612	-2.06549793310654	-1.99178240496701	-2.34766498671059	-2.21416165298201	-11.8799993362486	0	5	-10	0.458936171135759	8.16662240422596
0	-11.8799993362486	0	1.0	-8	-2.49321548058598	-3.20826535909036	11.9528629338936	-5.65193315163779	-1.98108052066629	-2.64647813220658	-2.21416165298201	-13.4571729272579	0	5	-10	-10	-5.80901418561808
0	-13.4571729272579	0	1.0	-8	-2.49321548058598	-2.88571607326429	11.9528629338936	-4.68428529415958	-1.98108052066629	-2.64647813220658	-2.21416165298201	-14.3379819189812	0	5	-10	-10	-13.6020243989419
1	-2.86929529686629	1	1.0	-8	-1.42777441684715	-1.22251630906794	9.43136376415899	-1.22251630906794	-1.22251630906794	-1.42777441684715	-1.42777441684715	-231.488930099084	0	2	-10	0.134310504596585	2.14570372033016
1	-2.86929529686629	1	1.0	-8	-1.42777441684715	-1.22251630906794	9.43136376415899	-1.22251630906794	-1.22251630906794	-1.42777441684715	-1.42777441684715	-231.488930099084	0	2	-10	0.134310504596585	2.14570372033016
0	-231.488930099084	1	1.0	-8	-8.0	-8.0	-8.0	-8.0	-8.0	-8.0	-8.0	-232.347591718121	0	2	0.999999546495381	-10	-9.32020197946027
0	-0.706244310752817	0	0.4	-8	-2.65152159797573	-2.41050284134801	9.56028696560292	-2.74573580563516	-2.07526987706087	-2.90099144181858	-2.40205175413289	-4.45969315450861	0	5	-10	-10	-0.00841248220560464
1	-4.45969315450861	0	0.6	-8	-2.64489627097526	-2.32231289892918	10.9504454804341	-2.74573580563516	-2.10083552902104	-2.90099144181858	-2.45271741109603	-6.28093564341762	0	5	-10	0.153390141029335	-2.06784271139005
1	-4.45969315450861	0	0.6	-8	-2.64489627097526	-2.32231289892918	10.9504454804341	-2.74573580563516	-2.10083552902104	-2.90099144181858	-2.45271741109603	-6.28093564341762	0	5	-10	0.153390141029335	-2.06784271139005
1	-1.71993125620736	0	1.0	-8	-2.61637853508155	-2.51834477919273	9.94936259079475	-2.60651640490913	-2.43017315347634	-2.76801632708864	-2.46474074307446	-3.98351550253992	0	5	-10	-10	5.71693245266319
1	-1.71993125620736	0	1.0	-8	-2.61637853508155	-2.51834477919273	9.94936259079475	-2.60651640490913	-2.43017315347634	-2.76801632708864	-2.46474074307446	-3.98351550253992	0	5	-10	-10	5.71693245266319
0	-3.98351550253992	1	0.5	-8	-1.46397140395719	-0.836143167626377	9.27875360095283	-0.836143167626377	-0.836143167626377	-1.46397140395719	-1.46397140395719	-231.407178376857	0	5	-10	0.134310504596585	-0.761592244720526
1	-2.06063317391781	0	1.0	-8	-2.47404517241426	-2.41452209948464	10.598292565232	-2.42596757415531	-2.40307662481396	-2.57729126063536	-2.37079908419315	-3.67891290895134	0	5	-10	-10	0.699386948455251
1	-2.06063317391781	0	1.0	-8	-2.47404517241426	-2.41452209948464	10.598292565232	-2.42596757415531	-2.40307662481396	-2.57729126063536	-2.37079908419315	-3.67891290895134	0	5	-10	-10	0.699386948455251
0	-3.67891290895134	1	0.5	-8	-1.9780496069083	-1.18905616911459	9.44715803134222	-1.18905616911459	-1.18905616911459	-1.9780496069083	-1.9780496069083	-10.6313169878804	0	5	-10	0.390153718725195	-8.37265823009473
0	-17.5410601534038	0	1.0	-8	-3.30779876053786	-1.59716657919668	12.0463461281275	-2.01685437566699	-1.10748832852378	-3.9658820507103	-2.46395125607289	-17.9347244697167	0	2	-10	-10	1.57603145362091
0	-17.9347244697167	0	1.0	-8	-3.35788795926455	-1.43210055695154	11.992308825702	-2.01685437566699	-0.612290261788379	-4.11614964689037	-2.46395125607289	-24.5274623951741	0	2	-10	-10	-9.17170026853925
0	-24.5274623951741	0	1.0	-8	-3.30779876053786	-3.30405783886464	12.0463461281275	-6.78783081240315	-1.10748832852378	-3.9658820507103	-2.46395125607289	-24.921126711487	0	2	0.663337483585541	-10	-12.1199575220539
0	-16.0435342499849	0	1.0	-8	-3.49667873857985	-1.63707374306338	12.6044327774384	-2.10202896682479	-1.10748832852378	-3.9658820507103	-3.17229515680207	-16.4371985662978	0	2	-10	-10	0.723657142306402
