Label	f0	f1	f2	f3	f4	f5	f6	f7	f8	f9	f10	f11	f12	f13	f14	f15	f16
1	-0.282375219257821	0	1.0	-8	-1.94521811039401	-1.7335241281722	9.43881055645564	-2.24303728869643	-1.24872750042451	-2.30319518451106	-1.39993972423619	-1.26136611787597	0	5	-1e+300	0.696086167263179	-1.49430590749682
0	-1.26136611787597	0	1.0	-8	-2.13945841304767	-1.98637067091713	9.55496210498635	-2.24303728869643	-1.70880759539567	-2.30319518451106	-1.98266063219715	-12.7964563189262	0	5	-1e+300	0.684437137332669	3.9222306972504
0	-12.7964563189262	0	1.0	-8	-1.94051586206094	-1.59490664490792	9.44555327448481	-2.24303728869643	-1.24872750042451	-2.30319518451106	-1.39993972423619	-13.7754472175443	0	5	-1e+300	-1e+300	-8.98731890939819
1	-0.0295588022415444	0	0.8	-8	-2.01680937655736	-1.84555558305767	9.43580529611262	-2.06694628296642	-1.43933257447826	-2.29747483190953	-1.50514983941355	-3.3588384686279	0	3	-1e+300	0.496224062791543	-0.834153281483692
0	-3.3588384686279	0	0.8	-8	-2.05307617782235	-1.83637209397233	9.49289132048142	-2.06694628296642	-1.43933257447826	-2.4425420369695	-1.50514983941355	-3.78135125298333	0	1	-1e+300	0.195708891384935	-3.49631938511081
0	-3.78135125298333	0	0.8	-8	-1.99061703699317	-1.7640649869898	9.51772584372147	-2.06694628296642	-1.43933257447826	-2.29747483190953	-1.50514983941355	-7.11063091936969	0	3	-1e+300	0.487551289647691	5.51556123252972
1	-0.310312496042153	0	1.0	-8	-1.97645056382749	-1.72597800668321	10.2950604127959	-2.07031917223074	-1.0791811942942	-2.29747483190953	-1.17609119420104	-3.63959216242851	0	3	-1e+300	0.597817134204341	-3.60755442489357
0	-3.63959216242851	0	1.0	-8	-2.00546400483948	-1.71863121541493	10.340729232291	-2.07031917223074	-1.0791811942942	-2.4425420369695	-1.17609119420104	-5.68289349882074	0	1	-1e+300	0.385958218234893	3.52390069949128
0	-5.68289349882074	0	1.0	-8	-1.97446865543332	-1.76286355165441	10.3292916210719	-2.25474689708678	-1.0791811942942	-2.29747483190953	-1.17609119420104	-7.94942454709085	0	3	-1e+300	-1e+300	2.88465820268092
1	-0.121926826869065	0	0.8	-8	-2.06208714863078	-1.83080933369586	9.70429935463189	-2.32123897315512	-1.64938995352348	-2.51337569836373	-1.77815098987942	-3.61029507886342	0	3	-1e+300	0.126275741389801	0.892939345524636
0	-3.61029507886342	0	0.8	-8	-1.99978859980592	-1.65110565975687	9.81095395152303	-1.68051075419508	-1.60242427739917	-2.2641815030643	-1.77815098987942	-4.87130823500404	0	3	-1e+300	0.487551289647691	-2.26668638946791
0	-4.87130823500404	0	0.8	-8	-2.10849788348369	-1.81205474390387	9.74752003873598	-2.32123897315512	-1.57437159435551	-2.51337569836373	-1.77815098987942	-8.35967648699839	0	1	-1e+300	-1e+300	-4.34286203725666
0	-0.208922959928459	0	0.75	-8	-2.10906751698566	-1.4585688415344	12.7809537234265	-1.66237705173295	-1.3211785088694	-2.60429261903606	-1.84585930764242	-0.827901420799116	0	2	-1e+300	0.399882174605119	4.43342135885397
0	-0.827901420799116	0	1.0	-8	-2.29298755665368	-1.60330133273115	12.897415415407	-1.99774903903463	-1.3211785088694	-2.87505285003473	-1.84585930764242	-2.30674224386003	0	2	-1e+300	0.486450441293337	4.12284676401037
1	-2.30674224386003	0	0.75	-8	-1.97380052895293	-1.31782027724903	12.0978681243491	-1.66237705173295	-0.969905271144731	-2.60429261903606	-1.47124966018031	-7.74200967766263	0	2	-1e+300	0.391209401461267	5.6693871070953
