Label	f0	f1	f2	f3	f4	f5	f6	f7	f8	f9	f10	f11	f12	f13
1	-3.61320986340826	0	0.75	-8	-3.15524669961101	-2.75585443188293	12.110887411592	-3.70497293003191	-1.86228502978986	-3.73716129168124	-2.64244732118761	-5.82643440046695	0	1
0	-5.82643440046695	0	0.75	-8	-3.14362902389505	-2.48532042129429	11.8443661006643	-2.70030533582701	-2.07411528801617	-3.20695373489985	-3.08613148596418	-9.31780885944224	0	1
0	-9.31780885944224	0	0.75	-8	-3.14362902389505	-2.79368897447222	11.8443661006643	-2.99922094754996	-2.68154064003968	-3.20695373489985	-3.08613148596418	-9.86269627788337	0	1
0	-9.86269627788337	0	0.75	-8	-3.15524669961101	-3.77969991519491	12.110887411592	-4.93382147972582	-2.70030533582701	-3.73716129168124	-2.64244732118761	-10.5451331625836	0	1
0	-10.5451331625836	0	0.75	-8	-3.11927834777799	-2.35556639451105	12.1522266266263	-2.70030533582701	-1.86228502978986	-3.62925623618219	-2.64244732118761	-11.3942078336917	0	1
1	-1.0542741854914	0	0.666666666666667	-8	-2.2809133198463	-2.02864016903677	10.4014723368612	-2.06549793310654	-1.99178240496701	-2.34766498671059	-2.21416165298201	-11.8799993362486	0	5
0	-11.8799993362486	0	1.0	-8	-2.49321548058598	-3.20826535909036	11.9528629338936	-5.65193315163779	-1.98108052066629	-2.64647813220658	-2.21416165298201	-13.4571729272579	0	5
0	-13.4571729272579	0	1.0	-8	-2.49321548058598	-2.88571607326429	11.9528629338936	-4.68428529415958	-1.98108052066629	-2.64647813220658	-2.21416165298201	-14.3379819189812	0	5
0	-14.3379819189812	0	0.666666666666667	-8	-2.29376611706011	-2.31976378612229	10.4027096464251	-2.57402963913805	-2.06549793310654	-2.34766498671059	-2.23986724740963	-22.7281348829918	0	2
0	-22.7281348829918	0	1.0	-8	-2.49458789117794	-2.48278956949394	11.9528786665043	-3.37940668955473	-1.99178240496701	-2.65059536398248	-2.21416165298201	-24.7633542241939	0	5
1	-13.4741233569091	0	0.666666666666667	-8	-3.36357723153492	-1.58472700063148	12.0070532382168	-2.06196567273918	-1.10748832852378	-3.9658820507103	-2.76127241235954	-13.8677876732221	0	2
0	-13.8677876732221	0	0.666666666666667	-8	-3.43871102962496	-1.33712796726378	11.9259972845787	-2.06196567273918	-0.612290261788379	-4.11614964689037	-2.76127241235954	-25.7991815105936	0	2
0	-25.7991815105936	0	1.0	-8	-3.36104962004718	-3.15571973349315	12.3935763907874	-6.29709639714461	-1.10748832852378	-3.9658820507103	-2.72101147113037	-26.1928458269065	0	2
0	-26.1928458269065	0	1.0	-8	-3.41113881877387	-2.99065371124802	12.3395390883619	-6.29709639714461	-0.612290261788379	-4.11614964689037	-2.72101147113037	-26.4543494168252	0	2
0	-26.4543494168252	0	1.0	-8	-3.36104962004718	-2.86494484372733	12.3935763907874	-5.17027761751025	-1.10748832852378	-3.9658820507103	-2.72101147113037	-26.8480137331381	0	2
1	-13.2470193427556	0	0.666666666666667	-8	-1.81656881999108	-0.289224636730447	10.7577620744334	-1.10748832852378	0.529039055062882	-3.9658820507103	0.332744410728135	-13.6406836590685	0	2
0	-13.6406836590685	0	0.666666666666667	-8	-1.89170261808112	-0.0416256033627486	10.6767061207952	-0.612290261788379	0.529039055062882	-4.11614964689037	0.332744410728135	-24.1549013306051	0	2
0	-24.1549013306051	0	1.0	-8	-3.36640056438186	-3.36662077843798	12.4304241669634	-6.78783081240315	-1.10748832852378	-3.9658820507103	-2.63975666760488	-24.548565646918	0	2
0	-24.548565646918	0	1.0	-8	-3.41648976310855	-3.20155475619285	12.376386864538	-6.78783081240315	-0.612290261788379	-4.11614964689037	-2.63975666760488	-31.3565734969765	0	2
0	-31.3565734969765	0	1.0	-8	-3.36777818658283	-1.89344848497268	12.4308728872736	-2.90570009299502	-1.10748832852378	-3.9658820507103	-2.6438895342078	-31.7502378132894	0	2
