last_update	heure	minute	velo	place	somme	roulant
10/9/13 11:35	11	35	12817	25202	38019	 225   
10/9/13 11:40	11	40	12744	25273	38017	 227   
10/9/13 11:45	11	45	12674	25349	38023	 221   
10/9/13 11:50	11	50	12646	25380	38026	 218   
10/9/13 11:55	11	55	12568	25457	38025	 219   
10/9/13 12:00	12	0	12516	25509	38025	 219   
10/9/13 12:05	12	5	12425	25589	38014	 230   
10/9/13 12:10	12	10	12342	25665	38007	 237   
10/9/13 12:15	12	15	12263	25740	38003	 241   
10/9/13 12:20	12	20	12244	25754	37998	 246   
10/9/13 12:25	12	25	12211	25791	38002	 242   
10/9/13 12:30	12	30	12237	25765	38002	 242   
10/9/13 12:35	12	35	12224	25772	37996	 248   
10/9/13 12:40	12	40	12238	25757	37995	 249   
10/9/13 12:45	12	45	12297	25697	37994	 250   
10/9/13 12:50	12	50	12367	25627	37994	 250   
10/9/13 12:55	12	55	12385	25606	37991	 253   
10/9/13 13:00	13	0	12387	25605	37992	 252   
10/9/13 13:05	13	5	12359	25635	37994	 250   
10/9/13 13:10	13	10	12370	25623	37993	 251   
10/9/13 13:15	13	15	12309	25684	37993	 251   
10/9/13 13:20	13	20	12305	25689	37994	 250   
10/9/13 13:25	13	25	12311	25685	37996	 248   
10/9/13 13:30	13	30	12285	25720	38005	 239   
10/9/13 13:35	13	35	12287	25723	38010	 234   
10/9/13 13:40	13	40	12237	25770	38007	 237   
10/9/13 13:45	13	45	12183	25830	38013	 231   
10/9/13 13:50	13	50	12180	25837	38017	 227   
10/9/13 13:55	13	55	12235	25796	38031	 213   
10/9/13 14:00	14	0	12309	25729	38038	 206   
10/9/13 14:05	14	5	12328	25727	38055	 189   
10/9/13 14:10	14	10	12330	25728	38058	 186   
10/9/13 14:15	14	15	12278	25782	38060	 184   
10/9/13 14:20	14	20	12317	25743	38060	 184   
10/9/13 14:25	14	25	12317	25739	38056	 188   
10/9/13 14:30	14	30	12324	25732	38056	 188   
10/9/13 14:35	14	35	12328	25727	38055	 189   
10/9/13 14:40	14	40	12268	25782	38050	 194   
10/9/13 14:45	14	45	12245	25802	38047	 197   
10/9/13 14:50	14	50	12257	25789	38046	 198   
10/9/13 14:55	14	55	12315	25733	38048	 196   
10/9/13 15:00	15	0	12338	25706	38044	 200   
10/9/13 15:05	15	5	12355	25689	38044	 200   
10/9/13 15:10	15	10	12328	25718	38046	 198   
10/9/13 15:15	15	15	12286	25758	38044	 200   
10/9/13 15:20	15	20	12333	25711	38044	 200   
10/9/13 15:25	15	25	12341	25706	38047	 197   
10/9/13 15:30	15	30	12334	25711	38045	 199   
10/9/13 15:35	15	35	12316	25719	38035	 209   
10/9/13 15:40	15	40	12320	25720	38040	 204   
10/9/13 15:45	15	45	12330	25717	38047	 197   
10/9/13 15:50	15	50	12304	25741	38045	 199   
10/9/13 15:55	15	55	12289	25754	38043	 201   
10/9/13 16:00	16	0	12245	25794	38039	 205   
10/9/13 16:05	16	5	12299	25741	38040	 204   
10/9/13 16:10	16	10	12298	25746	38044	 200   
10/9/13 16:15	16	15	12430	25613	38043	 201   
10/9/13 16:20	16	20	12653	25394	38047	 197   
10/9/13 16:25	16	25	12831	25216	38047	 197   
10/9/13 16:30	16	30	12915	25138	38053	 191   
10/9/13 16:35	16	35	12892	25164	38056	 188   
10/9/13 16:40	16	40	12744	25309	38053	 191   
10/9/13 16:45	16	45	12612	25440	38052	 192   
10/9/13 16:50	16	50	12505	25544	38049	 195   
10/9/13 16:55	16	55	12429	25623	38052	 192   
10/9/13 17:00	17	0	12424	25622	38046	 198   
10/9/13 17:05	17	5	12346	25694	38040	 204   
10/9/13 17:10	17	10	12180	25861	38041	 203   
10/9/13 17:15	17	15	12047	25996	38043	 201   
10/9/13 17:20	17	20	11928	26117	38045	 199   
10/9/13 17:25	17	25	11878	26163	38041	 203   
10/9/13 17:30	17	30	11830	26214	38044	 200   
10/9/13 17:35	17	35	11672	26372	38044	 200   
10/9/13 17:40	17	40	11556	26486	38042	 202   
10/9/13 17:45	17	45	11450	26587	38037	 207   
10/9/13 17:50	17	50	11311	26726	38037	 207   
10/9/13 17:55	17	55	11295	26739	38034	 210   
10/9/13 18:00	18	0	11298	26731	38029	 215   
10/9/13 18:05	18	5	11193	26833	38026	 218   
10/9/13 18:10	18	10	10972	27047	38019	 225   
10/9/13 18:15	18	15	10799	27223	38022	 222   
10/9/13 18:20	18	20	10690	27335	38025	 219   
10/9/13 18:25	18	25	10686	27340	38026	 218   
10/9/13 18:30	18	30	10653	27370	38023	 221   
10/9/13 18:35	18	35	10558	27469	38027	 217   
10/9/13 18:40	18	40	10499	27520	38019	 225   
10/9/13 18:45	18	45	10437	27579	38016	 228   
10/9/13 18:50	18	50	10480	27534	38014	 230   
10/9/13 18:55	18	55	10423	27585	38008	 236   
10/9/13 19:00	19	0	10509	27499	38008	 236   
10/9/13 19:05	19	5	10501	27509	38010	 234   
10/9/13 19:10	19	10	10449	27555	38004	 240   
10/9/13 19:15	19	15	10414	27586	38000	 244   
10/9/13 19:20	19	20	10407	27588	37995	 249   
10/9/13 19:25	19	25	10495	27503	37998	 246   
10/9/13 19:30	19	30	10536	27466	38002	 242   
10/9/13 19:35	19	35	10644	27363	38007	 237   
10/9/13 19:40	19	40	10714	27293	38007	 237   
10/9/13 19:45	19	45	10830	27172	38002	 242   
10/9/13 19:50	19	50	10941	27061	38002	 242   
10/9/13 19:55	19	55	11042	26958	38000	 244   
10/9/13 20:00	20	0	11206	26791	37997	 247   
10/9/13 20:05	20	5	11349	26651	38000	 244   
10/9/13 20:10	20	10	11485	26510	37995	 249   
10/9/13 20:15	20	15	11567	26432	37999	 245   
10/9/13 20:20	20	20	11653	26345	37998	 246   
10/9/13 20:25	20	25	11714	26285	37999	 245   
10/9/13 20:30	20	30	11824	26171	37995	 249   
10/9/13 20:35	20	35	12006	25990	37996	 248   
10/9/13 20:40	20	40	12130	25867	37997	 247   
10/9/13 20:45	20	45	12182	25817	37999	 245   
10/9/13 20:50	20	50	12310	25695	38005	 239   
10/9/13 20:55	20	55	12472	25536	38008	 236   
10/9/13 21:00	21	0	12553	25452	38005	 239   
10/9/13 21:05	21	5	12645	25365	38010	 234   
10/9/13 21:10	21	10	12693	25316	38009	 235   
10/9/13 21:15	21	15	12775	25230	38005	 239   
10/9/13 21:20	21	20	12779	25223	38002	 242   
10/9/13 21:25	21	25	12846	25163	38009	 235   
10/9/13 21:30	21	30	12902	25110	38012	 232   
10/9/13 21:35	21	35	12944	25071	38015	 229   
10/9/13 21:40	21	40	12960	25057	38017	 227   
10/9/13 21:45	21	45	12951	25068	38019	 225   
10/9/13 21:50	21	50	12935	25080	38015	 229   
10/9/13 21:55	21	55	12931	25085	38016	 228   
10/9/13 22:00	22	0	12983	25028	38011	 233   
10/9/13 22:05	22	5	12972	25038	38010	 234   
10/9/13 22:10	22	10	12927	25082	38009	 235   
10/9/13 22:15	22	15	12940	25069	38009	 235   
10/9/13 22:20	22	20	12981	25028	38009	 235   
10/9/13 22:25	22	25	13054	24954	38008	 236   
10/9/13 22:30	22	30	13011	24991	38002	 242   
10/9/13 22:35	22	35	13048	24956	38004	 240   
10/9/13 22:40	22	40	13043	24962	38005	 239   
10/9/13 22:45	22	45	13066	24943	38009	 235   
10/9/13 22:50	22	50	13053	24957	38010	 234   
10/9/13 22:55	22	55	13058	24953	38011	 233   
10/9/13 23:00	23	0	13022	24991	38013	 231   
10/9/13 23:05	23	5	12948	25063	38011	 233   
10/9/13 23:10	23	10	12881	25127	38008	 236   
10/9/13 23:15	23	15	12959	25055	38014	 230   
10/9/13 23:20	23	20	13013	25002	38015	 229   
10/9/13 23:25	23	25	13063	24950	38013	 231   
10/9/13 23:30	23	30	13081	24926	38007	 237   
10/9/13 23:35	23	35	13039	24973	38012	 232   
10/9/13 23:40	23	40	13034	24975	38009	 235   
10/9/13 23:45	23	45	13036	24974	38010	 234   
10/9/13 23:50	23	50	13148	24866	38014	 230   
10/9/13 23:55	23	55	13209	24806	38015	 229   
11/9/13 0:00	0	0	13245	24768	38013	 231   
11/9/13 0:05	0	5	13167	24844	38011	 233   
11/9/13 0:10	0	10	13134	24879	38013	 231   
11/9/13 0:15	0	15	13169	24847	38016	 228   
11/9/13 0:20	0	20	13213	24803	38016	 228   
11/9/13 0:25	0	25	13231	24783	38014	 230   
11/9/13 0:30	0	30	13292	24721	38013	 231   
11/9/13 0:35	0	35	13354	24658	38012	 232   
11/9/13 0:40	0	40	13372	24644	38016	 228   
11/9/13 0:45	0	45	13393	24625	38018	 226   
11/9/13 0:50	0	50	13443	24576	38019	 225   
11/9/13 0:55	0	55	13468	24549	38017	 227   
11/9/13 1:00	1	0	13433	24581	38014	 230   
11/9/13 1:05	1	5	13429	24583	38012	 232   
11/9/13 1:10	1	10	13407	24608	38015	 229   
11/9/13 1:15	1	15	13427	24589	38016	 228   
11/9/13 1:20	1	20	13474	24542	38016	 228   
11/9/13 1:25	1	25	13489	24528	38017	 227   
11/9/13 1:30	1	30	13506	24511	38017	 227   
11/9/13 1:35	1	35	13502	24518	38020	 224   
11/9/13 1:40	1	40	13515	24504	38019	 225   
11/9/13 1:45	1	45	13511	24506	38017	 227   
11/9/13 1:50	1	50	13547	24471	38018	 226   
11/9/13 1:55	1	55	13582	24436	38018	 226   
11/9/13 2:00	2	0	13629	24391	38020	 224   
11/9/13 2:05	2	5	13649	24369	38018	 226   
11/9/13 2:10	2	10	13680	24340	38020	 224   
11/9/13 2:15	2	15	13686	24335	38021	 223   
11/9/13 2:20	2	20	13701	24321	38022	 222   
11/9/13 2:25	2	25	13678	24343	38021	 223   
11/9/13 2:30	2	30	13702	24320	38022	 222   
11/9/13 2:35	2	35	13728	24294	38022	 222   
11/9/13 2:40	2	40	13746	24275	38021	 223   
11/9/13 2:45	2	45	13745	24274	38019	 225   
11/9/13 2:50	2	50	13727	24293	38020	 224   
11/9/13 2:55	2	55	13750	24271	38021	 223   
11/9/13 3:00	3	0	13756	24266	38022	 222   
11/9/13 3:05	3	5	13781	24241	38022	 222   
11/9/13 3:10	3	10	13753	24256	38009	 235   
11/9/13 3:15	3	15	13737	24272	38009	 235   
11/9/13 3:20	3	20	13712	24298	38010	 234   
11/9/13 3:25	3	25	13703	24306	38009	 235   
11/9/13 3:30	3	30	13726	24283	38009	 235   
11/9/13 3:35	3	35	13767	24242	38009	 235   
11/9/13 3:40	3	40	13794	24214	38008	 236   
11/9/13 3:45	3	45	13784	24226	38010	 234   
11/9/13 3:50	3	50	13749	24282	38031	 213   
11/9/13 3:55	3	55	13744	24289	38033	 211   
11/9/13 4:00	4	0	13760	24272	38032	 212   
11/9/13 4:05	4	5	13783	24250	38033	 211   
11/9/13 4:10	4	10	13801	24231	38032	 212   
11/9/13 4:15	4	15	13790	24243	38033	 211   
11/9/13 4:20	4	20	13774	24258	38032	 212   
11/9/13 4:25	4	25	13785	24247	38032	 212   
11/9/13 4:30	4	30	13798	24235	38033	 211   
11/9/13 4:35	4	35	13751	24282	38033	 211   
11/9/13 4:40	4	40	13745	24288	38033	 211   
11/9/13 4:45	4	45	13757	24275	38032	 212   
11/9/13 4:50	4	50	13808	24223	38031	 213   
11/9/13 4:55	4	55	13837	24194	38031	 213   
11/9/13 5:00	5	0	13842	24192	38034	 210   
11/9/13 5:05	5	5	13841	24193	38034	 210   
11/9/13 5:10	5	10	13846	24187	38033	 211   
11/9/13 5:15	5	15	13838	24195	38033	 211   
11/9/13 5:20	5	20	13839	24195	38034	 210   
11/9/13 5:25	5	25	13839	24192	38031	 213   
11/9/13 5:30	5	30	13818	24192	38010	 234   
11/9/13 5:35	5	35	13827	24183	38010	 234   
11/9/13 5:40	5	40	13817	24194	38011	 233   
11/9/13 5:45	5	45	13805	24207	38012	 232   
11/9/13 5:50	5	50	13792	24221	38013	 231   
11/9/13 5:55	5	55	13787	24224	38011	 233   
11/9/13 6:00	6	0	13784	24209	37993	 251   
11/9/13 6:05	6	5	13781	24214	37995	 249   
11/9/13 6:10	6	10	13783	24211	37994	 250   
11/9/13 6:15	6	15	13787	24206	37993	 251   
11/9/13 6:20	6	20	13778	24215	37993	 251   
11/9/13 6:25	6	25	13775	24219	37994	 250   
11/9/13 6:30	6	30	13758	24234	37992	 252   
11/9/13 6:35	6	35	13738	24254	37992	 252   
11/9/13 6:40	6	40	13701	24285	37986	 258   
11/9/13 6:45	6	45	13699	24286	37985	 259   
11/9/13 6:50	6	50	13678	24306	37984	 260   
11/9/13 6:55	6	55	13663	24320	37983	 261   
11/9/13 7:00	7	0	13653	24331	37984	 260   
11/9/13 7:05	7	5	13634	24349	37983	 261   
11/9/13 7:10	7	10	13581	24405	37986	 258   
11/9/13 7:15	7	15	13511	24472	37983	 261   
11/9/13 7:20	7	20	13409	24573	37982	 262   
11/9/13 7:25	7	25	13312	24672	37984	 260   
11/9/13 7:30	7	30	13168	24807	37975	 269   
