POIDLOG	POIDSF	cLT1FREQ	cLT2FREQ																												
0.8894218317	4766.8652013	2	1																												
2.3102092815	12381.589746	30	1																												
2.740069772	14685.431344	6	2																												
1.7755447679	9516.0499388	1	1																												
0.7325124103	3925.9075881	3	1																												
1.7583343823	9423.810705	3	1																												
1.6407330347	8793.525107	3	1																												
0.4139788891	2218.7239959	0																													
1.3790330065	7390.9411886	1	1																												
0.764835297	4099.1424228	1	1																												
0.8337312711	4468.3910849	0																													
2.3985869911	12855.250965	2	1																												
1.4142988447	7579.948801	3	1																												
0.8311080307	4454.3318017	0																													
1.3885635178	7442.020059	5	1																												
0.9319739662	4994.9237917	3	1																												
1.0454833188	5603.278302	2	1																												
0.9078798122	4865.7909321	1	1																												
1.3961684888	7482.7789772	3	1																												
1.1646939022	6242.1886158	1	1																												
2.4887255173	13338.349297	2	1																												
1.0934288287	5860.2427417	3	1																												
1.3389913118	7176.3373254	3	3																												
0.7906532443	4237.5139694	4	2																												
0.4604007996	2467.5226896	0																													
0.3867211665	2072.6359591	0																													
0.7212140564	3865.3539472	0																													
0.4623770242	2478.1142848	2	1																												
0.7732108934	4144.0315153	2	1																												
0.8028180326	4302.711274	2	2																												
1.2802836054	6861.6927861	4	1																												
0.5592040214	2997.0595448	10	2																												
0.4178776125	2239.6192427	2	1																												
1.7633925425	9450.9199657	1	2																												
0.5588695844	2995.2671261	2	1																												
2.7624324097	14805.284124	2	1																												
2.7428533167	14700.34978	3	3																												
2.6679874661	14299.105504	3	1																												
1.9627926453	10519.60681	2	1																												
2.453202949	13147.965737	2	1																												
0.6976892979	3739.2727689	3	1																												
0.4974659738	2666.1738612	3	2																												
1.8362041315	9841.1544048	5	3																												
1.3126051825	7034.9206018	0																													
1.6105288522	8631.6454884	1	1																												
2.1296671673	11413.97248	1	1																												
1.5176508699	8133.8650135	2	1																												
0.6405781352	3433.1849212	6	2																												
0.730516209	3915.2089274	2	1																												
1.1168322481	5985.6736022	2	1																												
2.3172060877	12419.089199	3	2																												
0.2843178387	1523.8042994	5	1																												
0.6479455959	3472.6709008	2	1																												
1.0647643724	5706.6153017	6	2																												
0.4361947352	2337.7900454	1	1																												
1.9629958669	10520.695979	3	1																												
1.1456020919	6139.8658678	1	1																												
1.1631049827	6233.6727858	3	1																												
0.5251529105	2814.5622756	4	2																												
0.7901220162	4234.6668468	5	2																												
1.2386064187	6638.3234869	3	1																												
1.1270642896	6040.5123309	0																													
0.6405781352	3433.1849212	0																													
1.4142988447	7579.948801	2	1																												
1.3984005817	7494.7419017	2	1																												
2.6833707013	14381.552107	2	2																												
2.0667752397	11076.902565	3	2																												
0.5555811052	2977.6424893	10	2																												
1.7179762605	9207.510948	7	2																												
3.3720513174	18072.542756	2	1																												
1.7124411362	9177.845394	0																													
4.3472862381	23299.324066	0																													
1.8068025577	9683.5763759	2	1																												
2.9231320005	15666.555188	4	2																												
0.4145217235	2221.6333223	5	1																												
0.5699055856	3054.4146852	0																													
1.235126368	6619.6721208	0																													
2.1758729951	11661.613076	3	1																												
1.7778793129	9528.5619561	0																													
0.5884691797	3153.9064531	4	1																												
0.5163381916	2767.3197014	12	1																												
1.7755447679	9516.0499388	1	1																												
0.5982255121	3206.1956144	1	1																												
0.6139005709	3290.2062488	3	1																												
0.8826128903	4730.3726117	3	2																												
0.7962408871	4267.4609969	1	1																												
0.8562205681	4588.922697	0																													
2.5324435804	13572.656693	1	1																												
1.7124411362	9177.845394	2	2																												
1.8545474507	9939.4656075	8	2																												
0.5229569759	2802.7931419	1	1																												
0.5329237091	2856.2099479	2	2																												
1.5464217868	8288.0630307	6	2																												
1.9416880783	10406.496672	2	1																												
1.5802440323	8469.3336937	2	1																												
0.9876635504	5293.3926751	2	2																												
2.5954077724	13910.11391	2	1																												
2.5135410096	13471.348176	4	1																												
2.377994037	12744.882821	3	1																												
1.6423698678	8802.2977299	0																													
0.3382588741	1812.9018181	4	3																												
2.7379775665	14674.218148	2	1																												
2.0667752397	11076.902565	4	2																												
0.7908973431	4238.8222193	2	1																												
3.5932849728	19258.246745	1	1																												
1.1709559938	6275.7503584	4	1																												
1.6423698678	8802.2977299	2	1																												
0.7646876116	4098.3509015	4	2																												
1.1557236129	6194.1122605	2	1																												
0.5401582958	2894.9837881	5	2																												
3.6910131198	19782.021726	4	2																												
1.2822117304	6872.0265914	3	2																												
0.98949795	5303.2241578	1	1																												
1.1461304372	6142.6975396	1	1																												
2.3966796232	12845.028408	2	2																												
2.8702277892	15383.014539	0																													
0.5246814398	2812.0354232	1	1																												
0.8006345333	4291.0087874	0																													
1.0968900869	5878.7933898	5	1																												
2.3637640775	12668.617211	1	2																												
2.2671595433	12150.864244	2	1																												
0.8211849339	4401.148865	0																													
2.6391620525	14144.615412	1	1																												
1.1873682267	6363.7118845	1	1																												
2.942805847	15771.997365	2	1																												
0.8087562452	4334.5371839	0																													
0.8007078075	4291.4015014	0																													
1.1680280814	6260.0581823	3	1																												
1.3345501177	7152.5347012	2	3																												
1.7124411362	9177.845394	0																													
1.1073019516	5934.5958824	0																													
1.0603162522	5682.7755569	3	1																												
1.0316646233	5529.2168652	0																													
0.7928229066	4249.1422959	3	1																												
2.5601486028	13721.142038	4	1																												
4.3472862381	23299.324066	1	1																												
