Week,chocolat
2011-09-25,31
2011-10-02,34
2011-10-09,38
2011-10-16,45
2011-10-23,44
2011-10-30,44
2011-11-06,42
2011-11-13,40
2011-11-20,41
2011-11-27,41
2011-12-04,43
2011-12-11,51
2011-12-18,72
2011-12-25,50
2012-01-01,31
2012-01-08,30
2012-01-15,33
2012-01-22,35
2012-01-29,34
2012-02-05,39
2012-02-12,45
2012-02-19,41
2012-02-26,40
2012-03-04,40
2012-03-11,37
2012-03-18,37
2012-03-25,34
2012-04-01,44
2012-04-08,42
2012-04-15,37
2012-04-22,35
2012-04-29,36
2012-05-06,31
2012-05-13,33
2012-05-20,29
2012-05-27,27
2012-06-03,29
2012-06-10,30
2012-06-17,30
2012-06-24,29
2012-07-01,30
2012-07-08,30
2012-07-15,30
2012-07-22,29
2012-07-29,29
2012-08-05,30
2012-08-12,32
2012-08-19,27
2012-08-26,29
2012-09-02,26
2012-09-09,28
2012-09-16,32
2012-09-23,35
2012-09-30,35
2012-10-07,39
2012-10-14,41
2012-10-21,43
2012-10-28,58
2012-11-04,45
2012-11-11,40
2012-11-18,43
2012-11-25,45
2012-12-02,48
2012-12-09,54
2012-12-16,71
2012-12-23,71
2012-12-30,49
2013-01-06,32
2013-01-13,35
2013-01-20,36
2013-01-27,36
2013-02-03,37
2013-02-10,44
2013-02-17,44
2013-02-24,47
2013-03-03,45
2013-03-10,47
2013-03-17,45
2013-03-24,54
2013-03-31,43
2013-04-07,37
2013-04-14,33
2013-04-21,37
2013-04-28,39
2013-05-05,41
2013-05-12,34
2013-05-19,39
2013-05-26,34
2013-06-02,29
2013-06-09,32
2013-06-16,30
2013-06-23,32
2013-06-30,29
2013-07-07,26
2013-07-14,29
2013-07-21,28
2013-07-28,30
2013-08-04,33
2013-08-11,33
2013-08-18,32
2013-08-25,32
2013-09-01,27
2013-09-08,31
2013-09-15,33
2013-09-22,35
2013-09-29,37
2013-10-06,39
2013-10-13,43
2013-10-20,47
2013-10-27,64
2013-11-03,48
2013-11-10,52
2013-11-17,50
2013-11-24,50
2013-12-01,48
2013-12-08,56
2013-12-15,67
2013-12-22,78
2013-12-29,53
2014-01-05,33
2014-01-12,37
2014-01-19,40
2014-01-26,41
2014-02-02,41
2014-02-09,47
2014-02-16,44
2014-02-23,47
2014-03-02,42
2014-03-09,39
2014-03-16,40
2014-03-23,41
2014-03-30,39
2014-04-06,41
2014-04-13,54
2014-04-20,50
2014-04-27,45
2014-05-04,40
2014-05-11,35
2014-05-18,36
2014-05-25,39
2014-06-01,31
2014-06-08,30
2014-06-15,31
2014-06-22,31
2014-06-29,32
2014-07-06,34
2014-07-13,32
2014-07-20,33
2014-07-27,32
2014-08-03,32
2014-08-10,36
2014-08-17,35
2014-08-24,33
2014-08-31,29
2014-09-07,29
2014-09-14,31
2014-09-21,34
2014-09-28,37
2014-10-05,43
2014-10-12,44
2014-10-19,53
2014-10-26,63
2014-11-02,51
2014-11-09,59
2014-11-16,53
2014-11-23,53
2014-11-30,54
2014-12-07,57
2014-12-14,68
2014-12-21,85
2014-12-28,59
2015-01-04,34
2015-01-11,36
2015-01-18,42
2015-01-25,44
2015-02-01,42
2015-02-08,51
2015-02-15,49
2015-02-22,50
2015-03-01,45
2015-03-08,42
2015-03-15,47
2015-03-22,49
2015-03-29,62
2015-04-05,48
2015-04-12,38
2015-04-19,40
2015-04-26,45
2015-05-03,39
2015-05-10,38
2015-05-17,37
2015-05-24,39
2015-05-31,32
2015-06-07,33
2015-06-14,36
2015-06-21,35
2015-06-28,29
2015-07-05,30
2015-07-12,33
2015-07-19,32
2015-07-26,36
2015-08-02,33
2015-08-09,37
2015-08-16,37
2015-08-23,38
2015-08-30,33
2015-09-06,36
2015-09-13,40
2015-09-20,40
2015-09-27,42
2015-10-04,44
2015-10-11,51
2015-10-18,59
2015-10-25,69
2015-11-01,53
2015-11-08,58
2015-11-15,55
2015-11-22,58
2015-11-29,59
2015-12-06,61
2015-12-13,73
2015-12-20,100
2015-12-27,67
2016-01-03,40
2016-01-10,44
2016-01-17,48
2016-01-24,53
2016-01-31,55
2016-02-07,62
2016-02-14,62
2016-02-21,56
2016-02-28,54
2016-03-06,52
2016-03-13,54
2016-03-20,65
2016-03-27,55
2016-04-03,45
2016-04-10,45
2016-04-17,44
2016-04-24,44
2016-05-01,42
2016-05-08,37
2016-05-15,42
2016-05-22,41
2016-05-29,43
2016-06-05,39
2016-06-12,42
2016-06-19,38
2016-06-26,39
2016-07-03,35
2016-07-10,34
2016-07-17,30
2016-07-24,33
2016-07-31,34
2016-08-07,35
2016-08-14,35
2016-08-21,33
2016-08-28,31
2016-09-04,32
2016-09-11,35
2016-09-18,36
