index	nb_urls	delimit_hash	geo	text	nb_symbols	annee	delimit_mention	nb_extended_entities	text_mention	id_str	nb_user_photos	nb_user_mentions	type_extended_entities	created_at	lang	retweet_count	nb_hashtags	favorite_count	text_hashtags
778241143351939072	0	, 80, 91		Angelina Jolie et Brad Pitt divorcent ! Je ne suis que tristesse ! (viaz @TMZ ) #brangelina	0	2016	, 73, 77	0	, TMZ	778241143351939072	0	1	[]	Tue Sep 20 14:35:22 +0000 2016	fr	0	1	0	, brangelina
778242492005228548	1	, 28, 39		NON!!!!!! Je braille!!!! :( #brangelina  https://t.co/rMZfeEshNy	0	2016		0		778242492005228548	0	0	[]	Tue Sep 20 14:40:43 +0000 2016	fr	0	1	0	, brangelina
778242940233711616	1	, 63, 74		Voilà, ça c'est la vraie annonce de l'arrivée de l'apocalypse! #brangelina https://t.co/IajvfXwcRp	0	2016		0		778242940233711616	0	0	[]	Tue Sep 20 14:42:30 +0000 2016	fr	1	1	1	, brangelina
778243351422304256	0	, 20, 31		C'est l'apocalypse  #brangelina	0	2016		0		778243351422304256	0	0	[]	Tue Sep 20 14:44:08 +0000 2016	fr	0	1	1	, brangelina
778243536231596032	0	, 35, 46		L'alerte AFP qu'on n'attendait pas #brangelina https://t.co/QXRpeGbC29	0	2016		1		778243536231596032	1	0	['photo']	Tue Sep 20 14:44:52 +0000 2016	fr	2	1	2	, brangelina
778243803127971840	1	, 6, 20, 43, 52, 78, 89		ladh: #AngelinaJolie demande le divorce de #BradPitt  https://t.co/kCn6nCP9xj #brangelina https://t.co/igpa0hg3t7	0	2016		1		778243803127971840	1	0	['photo']	Tue Sep 20 14:45:56 +0000 2016	fr	0	3	0	, AngelinaJolie, BradPitt, brangelina
778243863177629697	0	, 34, 45, 46, 50		Et soudain, Twitter s'enflamme... #brangelina #TMZ	0	2016		0		778243863177629697	0	0	[]	Tue Sep 20 14:46:10 +0000 2016	fr	0	2	2	, brangelina, TMZ
778244036834553856	1	, 50, 61		"Et voilà, encore un couple mythique qui se sépare #Brangelina
https://t.co/QeXVTIAlEc"	0	2016		0		778244036834553856	0	0	[]	Tue Sep 20 14:46:52 +0000 2016	fr	1	1	2	, Brangelina
778244066597371904	1	, 52, 63		Angelina Jolie demande le divorce selon le site TMZ #brangelina https://t.co/ThHa8IK7NO	0	2016		0		778244066597371904	0	0	[]	Tue Sep 20 14:46:59 +0000 2016	fr	0	1	0	, brangelina
778244508551094274	0	, 25, 36		C'EST UNE BLAGUE ???!!!! #brangelina	0	2016		0		778244508551094274	0	0	[]	Tue Sep 20 14:48:44 +0000 2016	fr	0	1	1	, brangelina
778244655108517888	1	, 53, 64		Jennifer Aniston en train d'apprendre la nouvelle de #brangelina sur @TMZ https://t.co/WUnTGyiHpo	0	2016	, 69, 73	0	, TMZ	778244655108517888	0	1	[]	Tue Sep 20 14:49:19 +0000 2016	fr	17	1	41	, brangelina
778244674603614208	0	, 80, 91		Précisons au passage que l'AFP a jugé bon de faire un urgent sur le divorce des #Brangelina. https://t.co/r6Ayt84Rn8	0	2016		1		778244674603614208	1	0	['photo']	Tue Sep 20 14:49:24 +0000 2016	fr	0	1	2	, Brangelina
778244679322206208	1	, 93, 104		Selon le site américain TMZ Angélina Jolie aurait demandé le divorce https://t.co/QH7c9bBsZh #brangelina https://t.co/iOeeMWjMfX	0	2016		1		778244679322206208	1	0	['photo']	Tue Sep 20 14:49:25 +0000 2016	fr	1	1	2	, brangelina
778244724104818688	0	, 23, 34		J'adore, le divorce de #Brangelina est en train de créer de vives réactions au bureau	0	2016		0		778244724104818688	0	0	[]	Tue Sep 20 14:49:35 +0000 2016	fr	0	1	4	, Brangelina
778244811862204416	2	, 0, 11, 28, 36, 37, 47		#Brangelina ne sera plus??? #Divorce #Hollywood https://t.co/qPv5C2uNH4 https://t.co/5a0TqYk0dl	0	2016		0		778244811862204416	0	0	[]	Tue Sep 20 14:49:56 +0000 2016	fr	0	3	0	, Brangelina, Divorce, Hollywood
778244967957495808	0	, 105, 116		🚨 BrENDgelina : Les filles de la rédac d'OFNI dansent de façon hystérique sous des litres de champagne 🚨 #Brangelina	0	2016		0		778244967957495808	0	0	[]	Tue Sep 20 14:50:34 +0000 2016	fr	109	1	366	, Brangelina
778244983371472897	0	, 8, 19		Je suis #Brangelina.	0	2016		0		778244983371472897	0	0	[]	Tue Sep 20 14:50:37 +0000 2016	fr	8	1	46	, Brangelina
778244986294894592	1	, 88, 92, 93, 101, 102, 113		OMG Angelina Jolie et Brad Pitt divorce !! Jennifer Aniston doit sortir le Champagne :) #TMZ #divorce #Brangelina… https://t.co/i0if3Tb2Bt	0	2016		0		778244986294894592	0	0	[]	Tue Sep 20 14:50:38 +0000 2016	fr	1	3	4	, TMZ, divorce, Brangelina
778245238167113728	1	, 77, 88		Angelina Jolie demande le divorce à Brad Pitt .. après deux ans de mariage 🚨 #Brangelina https://t.co/RltbvDZE0A	0	2016		0		778245238167113728	0	0	[]	Tue Sep 20 14:51:38 +0000 2016	fr	2	1	0	, Brangelina
778245407616806912	0	, 6, 17		Et tu #Brangelina	0	2016		0		778245407616806912	0	0	[]	Tue Sep 20 14:52:18 +0000 2016	fr	0	1	0	, Brangelina
778245670125891584	0	, 0, 11		#brangelina euh c une blague	0	2016		0		778245670125891584	0	0	[]	Tue Sep 20 14:53:21 +0000 2016	fr	0	1	0	, brangelina
778245739440967680	0	, 84, 95, 96, 119		Ah bah tiens il y a quelques jours je matais par hasard "By the Sea". Coincidence ? #Brangelina #installezmoimaroulotte	0	2016		0		778245739440967680	0	0	[]	Tue Sep 20 14:53:38 +0000 2016	fr	0	2	1	, Brangelina, installezmoimaroulotte
778245835293351936	1	, 29, 33, 34, 45		Ma tête en lisant le push 😱  #OMG #Brangelina https://t.co/Fb2EglRnRL	0	2016		0		778245835293351936	0	0	[]	Tue Sep 20 14:54:00 +0000 2016	fr	0	2	1	, OMG, Brangelina
778245894915448832	0	, 113, 124		Par contre les sites d'actualité qui te sortent des "break ingénieur news" tranquille ça reste une info People 😒 #brangelina	0	2016		0		778245894915448832	0	0	[]	Tue Sep 20 14:54:15 +0000 2016	fr	0	1	2	, brangelina
778245930197876736	0	, 0, 11		"#Brangelina it's over et j'men balek. Ça sera mon seul commentaire.
Les agences, vous pouvez reprendre, c'est cadeau."	0	2016		0		778245930197876736	0	0	[]	Tue Sep 20 14:54:23 +0000 2016	fr	1	1	0	, Brangelina
778245934534782976	0	, 110, 121		Mais donc, être beaux, riches et célèbres ne serait pas synonyme de bonheur en amour? Je comprends plus rien. #brangelina	0	2016		0		778245934534782976	0	0	[]	Tue Sep 20 14:54:24 +0000 2016	fr	1	1	16	, brangelina
778246007956070400	0	, 76, 87, 97, 105		Brad... je ne suis pas dispo, mais sur un malentendu, ça peut s'arranger... #Brangelina &gt;&gt; #Isabrad	0	2016		0		778246007956070400	0	0	[]	Tue Sep 20 14:54:42 +0000 2016	fr	0	2	0	, Brangelina, Isabrad
778246018248957952	1	, 64, 75		les trois phases de jennifer aniston après l'annonce du divorce #brangelina. https://t.co/SSLL9wOzCF	0	2016		0		778246018248957952	0	0	[]	Tue Sep 20 14:54:44 +0000 2016	fr	49	1	64	, brangelina
778246038847098880	1	, 38, 49		ALERTE déprogrammation : en hommage à #Brangelina les chaînes de TV du monde entier rediffusent "Mr. &amp; Mrs. Smith". https://t.co/HZQV5JPSCH	0	2016		0		778246038847098880	0	0	[]	Tue Sep 20 14:54:49 +0000 2016	fr	0	1	7	, Brangelina
778246050662457345	0	, 102, 113, 114, 128, 129, 138		Gros mouvement de panique à la rédaction après l'annonce du divorce d'Angelina Jolie et Brad Pitt ! 😂😂#brangelina #AngelinaJolie #BradPitt	0	2016		0		778246050662457345	0	0	[]	Tue Sep 20 14:54:52 +0000 2016	fr	0	3	1	, brangelina, AngelinaJolie, BradPitt
778246136058503168	0	, 0, 11		#Brangelina, c’est la fin !	0	2016		0		778246136058503168	0	0	[]	Tue Sep 20 14:55:12 +0000 2016	fr	0	1	2	, Brangelina
778246408533053440	1	, 76, 87		C'est la fin d'un ère, Angelina Jolie demande le divorce de Brad Pitt Adios #Brangelina https://t.co/6RaqFDFzDV	0	2016		0		778246408533053440	0	0	[]	Tue Sep 20 14:56:17 +0000 2016	fr	0	1	1	, Brangelina
778246474526318592	0	, 117, 128		Et 12 ans après... on en revient toujours à Jennifer Aniston (alors qu'elle a dit et redit qu'elle avait moved on !) #Brangelina	0	2016		0		778246474526318592	0	0	[]	Tue Sep 20 14:56:33 +0000 2016	fr	0	1	0	, Brangelina
778246479177781252	1	, 37, 41, 42, 53, 54, 62		Si même les Brangelina divorcent 😱😱😱 #OMG #brangelina #divorce https://t.co/uFNa5E5HJz	0	2016		0		778246479177781252	0	0	[]	Tue Sep 20 14:56:34 +0000 2016	fr	1	3	1	, OMG, brangelina, divorce
