index	nb_user_mentions	nb_extended_entities	nb_hashtags	geo	text_hashtags	annee	delimit_mention	lang	id_str	text_mention	retweet_count	favorite_count	type_extended_entities	text	nb_user_photos	nb_urls	nb_symbols	created_at	delimit_hash
776066992054861825	0	0	1		, SiJétaisPrésident	2016		fr	776066992054861825		4	3	[]	#SiJétaisPrésident se serait la fin du monde... mdr 😂	0	0	0	Wed Sep 14 14:36:04 +0000 2016	, 0, 18
776067660979245056	0	0	1		, SiJétaisPrésident	2016		fr	776067660979245056		5	8	[]	"#SiJétaisPrésident je donnerai plus de vacances 😌, genre 1mois de cours 1 mois de vacances etc...
Votez pour moi !😂"	0	0	0	Wed Sep 14 14:38:43 +0000 2016	, 0, 18
776312610811703296	0	0	4		, Alstom, Macron, haute, BFMTV	2016		fr	776312610811703296		0	0	[]	"Affaire #Alstom #Macron c'est de la #haute-trahison !" Dupont-Aignan en campagne... jusqu'au 2e tour 😃#BFMTV	0	0	0	Thu Sep 15 06:52:04 +0000 2016	, 9, 16, 17, 24, 37, 43, 103, 109
776313587094740996	1	1	1		, Macron	2016	, 20, 30	fr	776313587094740996	, vtremolet	25	15	['photo']	Excellent billet de @vtremolet qui démonte, 1 à 1, les multiples contradictions, voire l'inconsistance de M.#Macron https://t.co/QJ3N0ZTtex	1	0	0	Thu Sep 15 06:55:57 +0000 2016	, 108, 115
776314470276694016	0	0	2		, Macron, Sarkozy	2016		fr	776314470276694016		1	2	[]	Sondage, au premier tour #Macron met #Sarkozy dans la marge d'erreur.	0	0	0	Thu Sep 15 06:59:27 +0000 2016	, 25, 32, 37, 45
776315980054159360	1	0	1		, Macron	2016	, 0, 12	fr	776315980054159360	, GrandesVoix	0	0	[]	@GrandesVoix Incohérence sur les énarques. D'un côté, il y en a trop en politique et de l'autre #Macron, énarque, est "rafraîchissant"...	0	0	0	Thu Sep 15 07:05:27 +0000 2016	, 96, 103
776316173210222592	0	0	2		, Macron, hollande	2016		fr	776316173210222592		0	0	[]	"Pour qu’il y ait Brutus, encore faut-il qu’il y ait César dans l’avion" #Macron vs #hollande ! https://t.co/4S0bsBUtoh	0	1	0	Thu Sep 15 07:06:13 +0000 2016	, 73, 80, 84, 93
776317192916852736	2	0	2		, Macron, Invitepol	2016	, 0, 16, 17, 32	fr	776317192916852736	, pierremoscovici, radioclassique	0	0	[]	@pierremoscovici @radioclassique vous allez bien voter pour la droite au second tour de la présidentielle. #Macron #Invitepol	0	0	0	Thu Sep 15 07:10:16 +0000 2016	, 107, 114, 115, 125
776319461385265153	0	0	5		, Macron, Hollande, Valls, POUTINE, Alstom	2016		fr	776319461385265153		0	0	[]	Que #Macron #Hollande #Valls et tous les autres s'inspirent de #POUTINE pour sauver #Alstom : https://t.co/363x6Y7TQY	0	1	0	Thu Sep 15 07:19:17 +0000 2016	, 4, 11, 12, 21, 22, 28, 63, 71, 84, 91
776320156221972480	0	1	6		, haïku, poésie, loimacron, Alstom, SNCF, Macron	2016		fr	776320156221972480		0	3	['photo']	"#haïku #poésie #loimacron #Alstom 

La #SNCF,
Après la loi #Macron,
Boude nos wagons. https://t.co/mnhcRnLZgT"	1	0	0	Thu Sep 15 07:22:03 +0000 2016	, 0, 6, 7, 14, 15, 25, 26, 33, 39, 44, 59, 66
